adapter,error,extra_builtin_request_fallback,extra_family,extra_note,extra_request_source,latency_ms,length_bucket,measured,ok,output_text,peak_memory_mib,profile,quality_loss,quality_score,request_id,resident_memory_mib,split,task,ttft_ms
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,4.0,short,False,True,How is the ground truth for fake news established?,0.09765625,full_gpu,,,longbench_qasper_000000,0.09765625,calibration,qa_long_context,4.0
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,2.48,short,False,True,What is the GhostVLAD approach?,0.060546875,full_gpu,,,longbench_qasper_000001,0.060546875,calibration,qa_long_context,2.48
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,5.5200000000000005,short,False,True,By how much does their model outperform the state of the art results?,0.134765625,full_gpu,,,longbench_qasper_000002,0.134765625,calibration,qa_long_context,5.5200000000000005
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,4.0,short,False,True,What additional features and context are proposed?,0.09765625,full_gpu,,,longbench_qasper_000003,0.09765625,calibration,qa_long_context,4.0
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,3.04,short,False,True,Which Facebook pages did they look at?,0.07421875,full_gpu,,,longbench_qasper_000004,0.07421875,calibration,qa_long_context,3.04
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,4.96,short,False,True,Do the hashtag and SemEval datasets contain only English data?,0.12109375,full_gpu,,,longbench_qasper_000005,0.12109375,calibration,qa_long_context,4.96
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,4.0,short,False,True,What type of evaluation is proposed for this task?,0.09765625,full_gpu,,,longbench_qasper_000006,0.09765625,calibration,qa_long_context,4.0
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,3.36,short,False,True,What are the datasets used for evaluation?,0.08203125,full_gpu,,,longbench_qasper_000007,0.08203125,calibration,qa_long_context,3.36
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,6.48,short,False,True,How does this approach compare to other WSD approaches employing word embeddings?,0.158203125,full_gpu,,,longbench_qasper_000008,0.158203125,calibration,qa_long_context,6.48
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,2.88,short,False,True,How does their ensemble method work?,0.0703125,full_gpu,,,longbench_qasper_000009,0.0703125,calibration,qa_long_context,2.88
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,2.96,short,False,True,What are the sources of the datasets?,0.072265625,full_gpu,,,longbench_qasper_000010,0.072265625,calibration,qa_long_context,2.96
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,3.12,short,False,True,what language does this paper focus on?,0.076171875,full_gpu,,,longbench_qasper_000011,0.076171875,calibration,qa_long_context,3.12
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,3.2,short,False,True,What sentiment analysis dataset is used?,0.078125,full_gpu,,,longbench_qasper_000012,0.078125,calibration,qa_long_context,3.2
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,3.7600000000000002,short,False,True,What accuracy does the proposed system achieve?,0.091796875,full_gpu,,,longbench_qasper_000013,0.091796875,calibration,qa_long_context,3.7600000000000002
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,3.36,short,False,True,Did they experiment with this new dataset?,0.08203125,full_gpu,,,longbench_qasper_000014,0.08203125,calibration,qa_long_context,3.36
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,1.84,short,False,True,What datasets are used?,0.044921875,full_gpu,,,longbench_qasper_000015,0.044921875,calibration,qa_long_context,1.84
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,4.48,short,False,True,Which stock market sector achieved the best performance?,0.109375,full_gpu,,,longbench_qasper_000016,0.109375,calibration,qa_long_context,4.48
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,3.04,short,False,True,what NMT models did they compare with?,0.07421875,full_gpu,,,longbench_qasper_000017,0.07421875,calibration,qa_long_context,3.04
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,3.2,short,False,True,What are the three regularization terms?,0.078125,full_gpu,,,longbench_qasper_000018,0.078125,calibration,qa_long_context,3.2
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,1.84,short,False,True,What are the baselines?,0.044921875,full_gpu,,,longbench_qasper_000019,0.044921875,calibration,qa_long_context,1.84
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,2.32,short,False,True,By how much did they improve?,0.056640625,full_gpu,,,longbench_qasper_000020,0.056640625,calibration,qa_long_context,2.32
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,6.32,short,False,True,How does their model improve interpretability compared to softmax transformers?,0.154296875,full_gpu,,,longbench_qasper_000021,0.154296875,calibration,qa_long_context,6.32
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,1.76,short,False,True,what was the baseline?,0.04296875,full_gpu,,,longbench_qasper_000022,0.04296875,calibration,qa_long_context,1.76
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,2.96,short,False,True,What metrics are used for evaluation?,0.072265625,full_gpu,,,longbench_qasper_000023,0.072265625,calibration,qa_long_context,2.96
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,3.44,short,False,True,What is the attention module pretrained on?,0.083984375,full_gpu,,,longbench_qasper_000024,0.083984375,calibration,qa_long_context,3.44
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,3.6,short,False,True,What kind of stylistic features are obtained?,0.087890625,full_gpu,,,longbench_qasper_000025,0.087890625,calibration,qa_long_context,3.6
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,3.2,short,False,True,What architecture does the encoder have?,0.078125,full_gpu,,,longbench_qasper_000026,0.078125,calibration,qa_long_context,3.2
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,4.48,short,False,True,Is WordNet useful for taxonomic reasoning for this task?,0.109375,full_gpu,,,longbench_qasper_000027,0.109375,calibration,qa_long_context,4.48
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,1.92,short,False,True,what were the baselines?,0.046875,full_gpu,,,longbench_qasper_000028,0.046875,calibration,qa_long_context,1.92
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,2.48,short,False,True,How many users do they look at?,0.060546875,full_gpu,,,longbench_qasper_000029,0.060546875,calibration,qa_long_context,2.48
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,2.96,short,False,True,What metrics are used for evaluation?,0.072265625,full_gpu,,,longbench_qasper_000030,0.072265625,calibration,qa_long_context,2.96
full,,false,full,dry_run仅验证统一表结构，尚未执行真实模型和profile kernel,zai-org/LongBench,3.52,short,False,True,What labels do they create on their dataset?,0.0859375,full_gpu,,,longbench_qasper_000031,0.0859375,calibration,qa_long_context,3.52
