adapter,error,latency_ms,measured,ok,output_text,peak_memory_mib,profile,quality_loss,quality_score,request_id,resident_memory_mib,ttft_ms,length_bucket,split,task,extra_backend,extra_bits,extra_builtin_request_fallback,extra_env,extra_error_type,extra_failure_stage,extra_family,extra_h2o_recent_size,extra_h2o_selected_size,extra_kivi_bits,extra_kivi_group_size,extra_kivi_residual_length,extra_metric_em,extra_metric_f1,extra_metric_rouge_l,extra_model,extra_stage_startup_ms,extra_stage_model_load_ms,extra_stage_tokenize_ms,extra_stage_transfer_ms,extra_stage_generate_ms,extra_stage_decode_ms,extra_stage_total_ms,extra_original_request_id,extra_profile_note,extra_reference,extra_repeat_index,extra_request_source,extra_returncode,extra_note,extra_strategy,extra_unsupported,extra_worker_mode,extra_vllm_cache_hits,extra_vllm_cache_misses,extra_vllm_cached_blocks,extra_vllm_evictions,extra_vllm_policy_time_ms,extra_vllm_eviction_decision_time_ms
full,,13761.840432882309,True,True,"
The ground truth for fake news is established through the analysis of meta-data",7536.4921875,full_cpu,0.0,1.0,longbench_qasper_000000,7536.4921875,13761.840432882309,long,calibration,qa_long_context,transformers,,false,,,,full,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/TinyLlama-1.1B-Chat-v1.0,51.335033029317856,1482.7776663005352,8.325334638357162,0.00024586915969848633,13752.942591905594,0.4857182502746582,13761.840432882309,,full/exact transformers smoke,Ground truth is not established in the paper,,zai-org/LongBench,,,,,batch,,,,,,
full,,4905.269473791122,True,True,The ex-Reading defender denied fraudulent trading charges rel,7536.4921875,full_cpu,0.0,1.0,xsum_000000,7536.4921875,4905.269473791122,medium,calibration,summary,transformers,,false,,,,full,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/TinyLlama-1.1B-Chat-v1.0,51.335033029317856,1482.7776663005352,2.0001307129859924,0.00033155083656311035,4900.927364826202,2.1605640649795532,4905.269473791122,,full/exact transformers smoke,Former Premier League footballer Sam Sodje has appeared in court alongside three brothers accused of charity fraud.,,EdinburghNLP/xsum,,,,,batch,,,,,,
full,,4853.852696716785,True,True,"Four police officers were injured in the incident on Friday night. A man, aged",7536.4921875,full_cpu,0.0,1.0,xsum_000004,7536.4921875,4853.852696716785,short,calibration,summary,transformers,,false,,,,full,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/TinyLlama-1.1B-Chat-v1.0,51.335033029317856,1482.7776663005352,3.8597099483013153,0.00016763806343078613,4849.660694599152,0.2588406205177307,4853.852696716785,,full/exact transformers smoke,Two teenagers have been charged in connection with an incident in west Belfast in which a car collided with two police vehicles.,,EdinburghNLP/xsum,,,,,batch,,,,,,
full,,10587.542623281479,True,True,Ms Cooper told BBC Radio 4's Today programme that she would use,7536.4921875,full_cpu,0.0,1.0,xsum_000009,7536.4921875,10587.542623281479,long,calibration,summary,transformers,,false,,,,full,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/TinyLlama-1.1B-Chat-v1.0,51.335033029317856,1482.7776663005352,7.167946547269821,0.00022351741790771484,10579.893317073584,0.39837509393692017,10587.542623281479,,full/exact transformers smoke,Labour leadership hopefuls Liz Kendall and Yvette Cooper have said their supporters should back anyone other than Jeremy Corbyn in the contest.,,EdinburghNLP/xsum,,,,,batch,,,,,,
full,,17224.124528467655,True,True,"Labour MP Yvette Cooper said it was ""offensive, hurtful and",7536.4921875,full_cpu,0.0,1.0,xsum_000071,7536.4921875,17224.124528467655,xl,calibration,summary,transformers,,false,,,,full,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/TinyLlama-1.1B-Chat-v1.0,51.335033029317856,1482.7776663005352,12.822389602661133,0.00024586915969848633,17210.805527865887,0.4116147756576538,17224.124528467655,,full/exact transformers smoke,"David Cameron is facing Labour calls to apologise for calling refugees at a camp in Calais ""a bunch of migrants"" at Prime Minister's Questions.",,EdinburghNLP/xsum,,,,,batch,,,,,,
full,,12477.984059602022,True,True,"
GhostVLAD is a pooling strategy proposed by X. X",7536.4921875,full_cpu,0.0,1.0,longbench_qasper_000001,7536.4921875,12477.984059602022,long,calibration,qa_long_context,transformers,,false,,,,full,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/TinyLlama-1.1B-Chat-v1.0,51.335033029317856,1482.7776663005352,7.862456142902374,0.00023469328880310059,12469.704411923885,0.33514201641082764,12477.984059602022,,full/exact transformers smoke,"extension of the NetVLAD, adds Ghost clusters along with the NetVLAD clusters",,zai-org/LongBench,,,,,batch,,,,,,
full,,6730.179611593485,True,True,Voges forced to retire hurt on 86 after suffering injury while batt,7536.4921875,full_cpu,0.0,1.0,xsum_000001,7536.4921875,6730.179611593485,medium,calibration,summary,transformers,,false,,,,full,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/TinyLlama-1.1B-Chat-v1.0,51.335033029317856,1482.7776663005352,2.6424825191497803,0.00030174851417541504,6727.266561239958,0.19672885537147522,6730.179611593485,,full/exact transformers smoke,Middlesex batsman Adam Voges will be out until August after suffering a torn calf muscle in his right leg.,,EdinburghNLP/xsum,,,,,batch,,,,,,
full,,4949.69604536891,True,True,A man has been arrested on suspicion of causing death by dangerous driving after a,7536.4921875,full_cpu,0.0,1.0,xsum_000005,7536.4921875,4949.69604536891,short,calibration,summary,transformers,,false,,,,full,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/TinyLlama-1.1B-Chat-v1.0,51.335033029317856,1482.7776663005352,0.9544380009174347,0.0002682209014892578,4948.360506445169,0.29925256967544556,4949.69604536891,,full/exact transformers smoke,A pedestrian has been struck by a taxi in Dundee after it mounted the pavement.,,EdinburghNLP/xsum,,,,,batch,,,,,,
full,,8252.90334969759,True,True,The Association of School and College Leaders (ASCL) has published a survey,7536.4921875,full_cpu,0.0,1.0,xsum_000010,7536.4921875,8252.90334969759,long,calibration,summary,transformers,,false,,,,full,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/TinyLlama-1.1B-Chat-v1.0,51.335033029317856,1482.7776663005352,4.902530461549759,0.000260770320892334,8247.778695076704,0.15546754002571106,8252.90334969759,,full/exact transformers smoke,"Head teachers say they are axing GCSE and A-level subjects, increasing class sizes and cutting support services as they struggle with school funding.",,EdinburghNLP/xsum,,,,,batch,,,,,,
full,,17280.061773955822,True,True,"Liverpool 1, Manchester United 0. Goalscorer: Liverpool ",7536.4921875,full_cpu,0.0,1.0,xsum_000087,7536.4921875,17280.061773955822,xl,calibration,summary,transformers,,false,,,,full,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/TinyLlama-1.1B-Chat-v1.0,51.335033029317856,1482.7776663005352,8.249849081039429,0.00022351741790771484,17271.418038755655,0.3117024898529053,17280.061773955822,,full/exact transformers smoke,Liverpool and Manchester United played out a goalless and uneventful stalemate on a disappointing night at Anfield.,,EdinburghNLP/xsum,,,,,batch,,,,,,
