adapter,error,latency_ms,measured,ok,output_text,peak_memory_mib,profile,quality_loss,quality_score,request_id,resident_memory_mib,ttft_ms,length_bucket,split,task,extra_backend,extra_bits,extra_builtin_request_fallback,extra_env,extra_error_type,extra_failure_stage,extra_family,extra_h2o_recent_size,extra_h2o_selected_size,extra_kivi_bits,extra_kivi_effective_mode,extra_kivi_group_size,extra_kivi_quantization_triggered,extra_kivi_residual_length,extra_metric_em,extra_metric_f1,extra_metric_rouge_l,extra_model,extra_stage_startup_ms,extra_stage_model_load_ms,extra_stage_tokenize_ms,extra_stage_transfer_ms,extra_stage_generate_ms,extra_stage_decode_ms,extra_stage_total_ms,extra_original_request_id,extra_profile_note,extra_reference,extra_repeat_index,extra_request_source,extra_returncode,extra_note,extra_strategy,extra_unsupported,extra_worker_mode,extra_vllm_cache_hits,extra_vllm_cache_misses,extra_vllm_cached_blocks,extra_vllm_evictions,extra_vllm_policy_time_ms,extra_vllm_eviction_decision_time_ms
full,,3384.6556693315506,True,True, The ground truth for fake news in the study is established through a dataset that was,5002.19970703125,full_gpu,0.0,1.0,longbench_qasper_000000,8642.2578125,3384.6556693315506,long,calibration,qa_long_context,transformers,,false,,,,full,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,48.47563058137894,16666.70060530305,18.51145550608635,0.3018602728843689,3365.402076393366,0.2141036093235016,3384.6556693315506,,full/exact transformers smoke,Ground truth is not established in the paper,,zai-org/LongBench,,,,,batch,,,,,,
full,,613.1607592105865,True,True, Four brothers accused of fraudulently trading to the value of Â£1.,4366.58740234375,full_gpu,0.0,1.0,xsum_000000,8642.2578125,613.1607592105865,medium,calibration,summary,transformers,,false,,,,full,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,48.47563058137894,16666.70060530305,1.0849200189113617,0.09339302778244019,611.6722747683525,0.12172013521194458,613.1607592105865,,full/exact transformers smoke,Former Premier League footballer Sam Sodje has appeared in court alongside three brothers accused of charity fraud.,,EdinburghNLP/xsum,,,,,batch,,,,,,
full,,587.3994491994381,True,True, Two teenagers have been charged over an incident involving a stolen car which crashed into a,4332.73974609375,full_gpu,0.0,1.0,xsum_000004,8642.2578125,587.3994491994381,short,calibration,summary,transformers,,false,,,,full,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,48.47563058137894,16666.70060530305,0.6685703992843628,0.08300319314002991,586.3544158637524,0.10912120342254639,587.3994491994381,,full/exact transformers smoke,Two teenagers have been charged in connection with an incident in west Belfast in which a car collided with two police vehicles.,,EdinburghNLP/xsum,,,,,batch,,,,,,
full,,1008.4853433072567,True,True, Labour leadership contenders Harriet Harman and Andy Burnham have urged supporters of Jeremy,4874.29443359375,full_gpu,0.0,1.0,xsum_000009,8642.2578125,1008.4853433072567,long,calibration,summary,transformers,,false,,,,full,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,48.47563058137894,16666.70060530305,4.805557429790497,0.12813881039619446,1003.1867139041424,0.12406334280967712,1008.4853433072567,,full/exact transformers smoke,Labour leadership hopefuls Liz Kendall and Yvette Cooper have said their supporters should back anyone other than Jeremy Corbyn in the contest.,,EdinburghNLP/xsum,,,,,batch,,,,,,
full,,1292.7477806806564,True,True," Prime Minister David Cameron has faced criticism after he described migrants in Calais as """,5323.30517578125,full_gpu,0.0,1.0,xsum_000071,8642.2578125,1292.7477806806564,xl,calibration,summary,transformers,,false,,,,full,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,48.47563058137894,16666.70060530305,8.321426808834076,0.1686103641986847,1283.7260402739048,0.13117492198944092,1292.7477806806564,,full/exact transformers smoke,"David Cameron is facing Labour calls to apologise for calling refugees at a camp in Calais ""a bunch of migrants"" at Prime Minister's Questions.",,EdinburghNLP/xsum,,,,,batch,,,,,,
full,,1045.3649684786797,True,True, The GhostVLAD approach is a pooling strategy inspired by the work on face recognition,5040.16943359375,full_gpu,0.0,1.0,longbench_qasper_000001,8642.2578125,1045.3649684786797,long,calibration,qa_long_context,transformers,,false,,,,full,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,48.47563058137894,16666.70060530305,6.184365600347519,0.16364827752113342,1038.6070422828197,0.10472536087036133,1045.3649684786797,,full/exact transformers smoke,"extension of the NetVLAD, adds Ghost clusters along with the NetVLAD clusters",,zai-org/LongBench,,,,,batch,,,,,,
full,,638.6481449007988,True,True, Middlesex have ruled out Australia batsman Adam Voges returning before the end of,4422.40380859375,full_gpu,0.0,1.0,xsum_000001,8642.2578125,638.6481449007988,medium,calibration,summary,transformers,,false,,,,full,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,48.47563058137894,16666.70060530305,1.299738883972168,0.09590387344360352,636.9395144283772,0.10363385081291199,638.6481449007988,,full/exact transformers smoke,Middlesex batsman Adam Voges will be out until August after suffering a torn calf muscle in his right leg.,,EdinburghNLP/xsum,,,,,batch,,,,,,
full,,585.5103619396687,True,True, A 21-year-old man has been seriously injured after being hit by a,4328.48388671875,full_gpu,0.0,1.0,xsum_000005,8642.2578125,585.5103619396687,short,calibration,summary,transformers,,false,,,,full,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,48.47563058137894,16666.70060530305,0.48878416419029236,0.08174404501914978,584.6674926578999,0.0959634780883789,585.5103619396687,,full/exact transformers smoke,A pedestrian has been struck by a taxi in Dundee after it mounted the pavement.,,EdinburghNLP/xsum,,,,,batch,,,,,,
full,,856.3285507261753,True,True," School leaders are warning that cuts to budgets are leading to a ""bare bones education",4676.55615234375,full_gpu,0.0,1.0,xsum_000010,8642.2578125,856.3285507261753,long,calibration,summary,transformers,,false,,,,full,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,48.47563058137894,16666.70060530305,2.6696473360061646,0.0979788601398468,853.2381504774094,0.11274591088294983,856.3285507261753,,full/exact transformers smoke,"Head teachers say they are axing GCSE and A-level subjects, increasing class sizes and cutting support services as they struggle with school funding.",,EdinburghNLP/xsum,,,,,batch,,,,,,
full,,1380.3896307945251,True,True, Liverpool drew 0-0 with Manchester United at Anfield in a tightly contested,5369.55908203125,full_gpu,0.0,1.0,xsum_000087,8642.2578125,1380.3896307945251,xl,calibration,summary,transformers,,false,,,,full,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,48.47563058137894,16666.70060530305,7.224913686513901,0.16824156045913696,1372.5536242127419,0.231914222240448,1380.3896307945251,,full/exact transformers smoke,Liverpool and Manchester United played out a goalless and uneventful stalemate on a disappointing night at Anfield.,,EdinburghNLP/xsum,,,,,batch,,,,,,
