adapter,error,extra_backend,extra_bits,extra_builtin_request_fallback,extra_env,extra_failure_stage,extra_family,extra_kivi_group_size,extra_kivi_kernel_calls,extra_kivi_quantize_calls,extra_kivi_quantized_layers,extra_kivi_quantized_tokens,extra_kivi_residual_length,extra_max_new_tokens,extra_model,extra_profile,extra_prompt_tokens,extra_reference,extra_request_source,extra_stage_decode_ms,extra_stage_generate_ms,extra_stage_model_load_ms,extra_stage_startup_ms,extra_stage_tokenize_ms,extra_stage_total_ms,extra_stage_transfer_ms,extra_unsupported,extra_worker_mode,latency_ms,length_bucket,measured,ok,output_text,peak_memory_mib,profile,quality_loss,quality_score,request_id,resident_memory_mib,split,task,ttft_ms
kivi,KIVI proof/runtime failed (kivi_4bit_residual32): RuntimeError: The size of tensor a (32) must match the size of tensor b (1353) at non-singleton dimension 2,qwen2_kivi,4,false,edgekv-kivi,generate,kivi,32,0,0,0,0,32,16,/DATACENTER3/zhenxiang.wang/resource/TinyLlama-1.1B-Chat-v1.0,kivi_4bit_residual32,1353,Ground truth is not established in the paper,zai-org/LongBench,0.0,1997.493240982294,6054.203025996685,2284.5868542790413,0.0,1997.7295696735382,0.2279430627822876,true,batch,,long,False,False,,,kivi_4bit_residual32,,,longbench_qasper_000000,,calibration,qa_long_context,
kivi,"KIVI proof/runtime failed (kivi_4bit_residual32): RuntimeError: CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
",qwen2_kivi,4,false,edgekv-kivi,transfer,kivi,32,0,0,0,0,32,16,/DATACENTER3/zhenxiang.wang/resource/TinyLlama-1.1B-Chat-v1.0,kivi_4bit_residual32,166,Former Premier League footballer Sam Sodje has appeared in court alongside three brothers accused of charity fraud.,EdinburghNLP/xsum,0.0,0.0,6054.203025996685,2284.5868542790413,0.0,339.2336927354336,0.0,true,batch,,medium,False,False,,,kivi_4bit_residual32,,,xsum_000000,,calibration,summary,
kivi,"KIVI proof/runtime failed (kivi_4bit_residual32): RuntimeError: CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
",qwen2_kivi,4,false,edgekv-kivi,transfer,kivi,32,0,0,0,0,32,16,/DATACENTER3/zhenxiang.wang/resource/TinyLlama-1.1B-Chat-v1.0,kivi_4bit_residual32,101,Two teenagers have been charged in connection with an incident in west Belfast in which a car collided with two police vehicles.,EdinburghNLP/xsum,0.0,0.0,6054.203025996685,2284.5868542790413,0.0,0.14400482177734375,0.0,true,batch,,short,False,False,,,kivi_4bit_residual32,,,xsum_000004,,calibration,summary,
kivi,"KIVI proof/runtime failed (kivi_4bit_residual32): RuntimeError: CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
",qwen2_kivi,4,false,edgekv-kivi,transfer,kivi,32,0,0,0,0,32,16,/DATACENTER3/zhenxiang.wang/resource/TinyLlama-1.1B-Chat-v1.0,kivi_4bit_residual32,1160,Labour leadership hopefuls Liz Kendall and Yvette Cooper have said their supporters should back anyone other than Jeremy Corbyn in the contest.,EdinburghNLP/xsum,0.0,0.0,6054.203025996685,2284.5868542790413,0.0,0.261649489402771,0.0,true,batch,,long,False,False,,,kivi_4bit_residual32,,,xsum_000009,,calibration,summary,
kivi,"KIVI proof/runtime failed (kivi_4bit_residual32): RuntimeError: CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
",qwen2_kivi,4,false,edgekv-kivi,transfer,kivi,32,0,0,0,0,32,16,/DATACENTER3/zhenxiang.wang/resource/TinyLlama-1.1B-Chat-v1.0,kivi_4bit_residual32,2058,"David Cameron is facing Labour calls to apologise for calling refugees at a camp in Calais ""a bunch of migrants"" at Prime Minister's Questions.",EdinburghNLP/xsum,0.0,0.0,6054.203025996685,2284.5868542790413,0.0,0.14350563287734985,0.0,true,batch,,xl,False,False,,,kivi_4bit_residual32,,,xsum_000071,,calibration,summary,
kivi,"KIVI proof/runtime failed (kivi_4bit_residual32): RuntimeError: CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
",qwen2_kivi,4,false,edgekv-kivi,transfer,kivi,32,0,0,0,0,32,16,/DATACENTER3/zhenxiang.wang/resource/TinyLlama-1.1B-Chat-v1.0,kivi_4bit_residual32,1408,"extension of the NetVLAD, adds Ghost clusters along with the NetVLAD clusters",zai-org/LongBench,0.0,0.0,6054.203025996685,2284.5868542790413,0.0,0.14587119221687317,0.0,true,batch,,long,False,False,,,kivi_4bit_residual32,,,longbench_qasper_000001,,calibration,qa_long_context,
kivi,"KIVI proof/runtime failed (kivi_4bit_residual32): RuntimeError: CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
",qwen2_kivi,4,false,edgekv-kivi,transfer,kivi,32,0,0,0,0,32,16,/DATACENTER3/zhenxiang.wang/resource/TinyLlama-1.1B-Chat-v1.0,kivi_4bit_residual32,274,Middlesex batsman Adam Voges will be out until August after suffering a torn calf muscle in his right leg.,EdinburghNLP/xsum,0.0,0.0,6054.203025996685,2284.5868542790413,0.0,0.13464689254760742,0.0,true,batch,,medium,False,False,,,kivi_4bit_residual32,,,xsum_000001,,calibration,summary,
kivi,"KIVI proof/runtime failed (kivi_4bit_residual32): RuntimeError: CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
",qwen2_kivi,4,false,edgekv-kivi,transfer,kivi,32,0,0,0,0,32,16,/DATACENTER3/zhenxiang.wang/resource/TinyLlama-1.1B-Chat-v1.0,kivi_4bit_residual32,93,A pedestrian has been struck by a taxi in Dundee after it mounted the pavement.,EdinburghNLP/xsum,0.0,0.0,6054.203025996685,2284.5868542790413,0.0,0.12521445751190186,0.0,true,batch,,short,False,False,,,kivi_4bit_residual32,,,xsum_000005,,calibration,summary,
kivi,"KIVI proof/runtime failed (kivi_4bit_residual32): RuntimeError: CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
",qwen2_kivi,4,false,edgekv-kivi,transfer,kivi,32,0,0,0,0,32,16,/DATACENTER3/zhenxiang.wang/resource/TinyLlama-1.1B-Chat-v1.0,kivi_4bit_residual32,749,"Head teachers say they are axing GCSE and A-level subjects, increasing class sizes and cutting support services as they struggle with school funding.",EdinburghNLP/xsum,0.0,0.0,6054.203025996685,2284.5868542790413,0.0,0.13064220547676086,0.0,true,batch,,long,False,False,,,kivi_4bit_residual32,,,xsum_000010,,calibration,summary,
kivi,"KIVI proof/runtime failed (kivi_4bit_residual32): RuntimeError: CUDA error: device-side assert triggered
CUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.
For debugging consider passing CUDA_LAUNCH_BLOCKING=1
Compile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.
",qwen2_kivi,4,false,edgekv-kivi,transfer,kivi,32,0,0,0,0,32,16,/DATACENTER3/zhenxiang.wang/resource/TinyLlama-1.1B-Chat-v1.0,kivi_4bit_residual32,2179,Liverpool and Manchester United played out a goalless and uneventful stalemate on a disappointing night at Anfield.,EdinburghNLP/xsum,0.0,0.0,6054.203025996685,2284.5868542790413,0.0,0.13159960508346558,0.0,true,batch,,xl,False,False,,,kivi_4bit_residual32,,,xsum_000087,,calibration,summary,
