adapter,budget_hit,error,evicted_kv_mib,extra_arrival_index,extra_backend,extra_bits,extra_builtin_request_fallback,extra_cache_rebuild_reason,extra_cache_reused,extra_effective_prompt_chars,extra_env,extra_failure_stage,extra_family,extra_history_turns,extra_kivi_effective_mode,extra_kivi_group_size,extra_kivi_kernel_calls,extra_kivi_quantization_triggered,extra_kivi_quantize_calls,extra_kivi_quantized_layers,extra_kivi_quantized_tokens,extra_kivi_residual_length,extra_max_new_tokens,extra_model,extra_primary_metric,extra_profile,extra_prompt_text,extra_prompt_tokens,extra_reference,extra_request_source,extra_runtime_cuda_visible_devices,extra_runtime_device_strategy,extra_runtime_visible_device_count,extra_stage_decode_ms,extra_stage_generate_ms,extra_stage_model_load_ms,extra_stage_startup_ms,extra_stage_tokenize_ms,extra_stage_total_ms,extra_stage_transfer_ms,extra_unsupported,extra_worker_cuda_visible_devices,extra_worker_device_strategy,extra_worker_mode,kv_cache_memory_mib,kv_cumulative_mib,kv_incremental_mib,latency_ms,length_bucket,measured,ok,output_text,peak_memory_mib,profile,quality_loss,quality_score,recompute_ms,request_id,resident_kv_mib_after,resident_kv_mib_before,resident_memory_mib,restore_ms,session_id,split,task,ttft_ms,turn_index
kivi,False,KIVI proof/runtime failed (kivi_4bit_residual16): AssertionError: ,,0,qwen2_kivi,4,false,new_session,False,195,edgekv-kivi,generate,kivi,[],quantized,32,225,True,168,28,896,16,16,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,kivi_4bit_residual16,"Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.
Question: Repeat the shipping plan in one sentence.
Answer:",43,Team Atlas ships 18 crates on August 12 to warehouse-7.,data/fixtures/pilot_session_trace_requests.jsonl,"0,1",balanced_two_gpu,2,0.0,3538.193065673113,15235.054429620504,2081.73905313015,0.0,3538.4110994637012,0.21200627088546753,true,"0,1",balanced_two_gpu,persistent,,,,,medium,False,False,,,kivi_4bit_residual16,,,,qa-session-000-turn0__pressure_r1_c1,,,,,qa-session-000__pressure_r1_c1,calibration,qa,,0
kivi,False,KIVI proof/runtime failed (kivi_4bit_residual16): AssertionError: ,,1,qwen2_kivi,4,false,new_session,False,195,edgekv-kivi,generate,kivi,[],quantized,32,450,True,336,56,1792,16,16,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,kivi_4bit_residual16,"Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.
Question: Repeat the shipping plan in one sentence.
Answer:",43,Team Atlas ships 18 crates on August 12 to warehouse-7.,data/fixtures/pilot_session_trace_requests.jsonl,"0,1",balanced_two_gpu,2,0.0,373.8260939717293,15235.054429620504,2081.73905313015,0.0,373.93759936094284,0.1064687967300415,true,"0,1",balanced_two_gpu,persistent,,,,,medium,False,False,,,kivi_4bit_residual16,,,,qa-session-000-turn0__pressure_r1_c2,,,,,qa-session-000__pressure_r1_c2,calibration,qa,,0
kivi,False,KIVI proof/runtime failed (kivi_4bit_residual16): AssertionError: ,,2,qwen2_kivi,4,false,new_session,False,349,edgekv-kivi,generate,kivi,"[""User: Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Atlas ships 18 crates on August 12 to warehouse-7.""]",quantized,32,450,True,336,56,1792,16,16,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,kivi_4bit_residual16,"Question: What date was locked for the shipment, and what cannot change?
Answer:",81,August 12; the destination warehouse-7 cannot change.,data/fixtures/pilot_session_trace_requests.jsonl,"0,1",balanced_two_gpu,2,0.0,2.117414027452469,15235.054429620504,2081.73905313015,0.0,2.2089071571826935,0.08697807788848877,true,"0,1",balanced_two_gpu,persistent,,,,,medium,False,False,,,kivi_4bit_residual16,,,,qa-session-000-turn1__pressure_r1_c1,,,,,qa-session-000__pressure_r1_c1,calibration,qa,,1
kivi,False,KIVI proof/runtime failed (kivi_4bit_residual16): AssertionError: ,,3,qwen2_kivi,4,false,new_session,False,349,edgekv-kivi,generate,kivi,"[""User: Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Atlas ships 18 crates on August 12 to warehouse-7.""]",quantized,32,450,True,336,56,1792,16,16,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,kivi_4bit_residual16,"Question: What date was locked for the shipment, and what cannot change?
Answer:",81,August 12; the destination warehouse-7 cannot change.,data/fixtures/pilot_session_trace_requests.jsonl,"0,1",balanced_two_gpu,2,0.0,1.2501664459705353,15235.054429620504,2081.73905313015,0.0,1.3305768370628357,0.07662549614906311,true,"0,1",balanced_two_gpu,persistent,,,,,medium,False,False,,,kivi_4bit_residual16,,,,qa-session-000-turn1__pressure_r1_c2,,,,,qa-session-000__pressure_r1_c2,calibration,qa,,1
kivi,False,KIVI proof/runtime failed (kivi_4bit_residual16): AssertionError: ,,4,qwen2_kivi,4,false,new_session,False,605,edgekv-kivi,generate,kivi,"[""User: Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Atlas ships 18 crates on August 12 to warehouse-7."", ""User: Question: What date was locked for the shipment, and what cannot change?\nAnswer:"", ""Assistant: August 12; the destination warehouse-7 cannot change.""]",quantized,32,1123,True,728,84,5376,16,16,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,kivi_4bit_residual16,"Question: A coordinator asks whether the shipment can be split into two equal batches without changing the original date or destination. Answer yes/no and keep the constraints.
Answer:",131,Yes. Split 18 crates into two equal batches while keeping August 12 and destination warehouse-7 unchanged.,data/fixtures/pilot_session_trace_requests.jsonl,"0,1",balanced_two_gpu,2,0.0,1124.2543198168278,15235.054429620504,2081.73905313015,0.0,1124.3398822844028,0.08184462785720825,true,"0,1",balanced_two_gpu,persistent,,,,,medium,False,False,,,kivi_4bit_residual16,,,,qa-session-000-turn2__pressure_r1_c1,,,,,qa-session-000__pressure_r1_c1,eval,qa,,2
kivi,False,KIVI proof/runtime failed (kivi_4bit_residual16): AssertionError: ,,5,qwen2_kivi,4,false,new_session,False,605,edgekv-kivi,generate,kivi,"[""User: Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Atlas ships 18 crates on August 12 to warehouse-7."", ""User: Question: What date was locked for the shipment, and what cannot change?\nAnswer:"", ""Assistant: August 12; the destination warehouse-7 cannot change.""]",quantized,32,1796,True,1120,112,8960,16,16,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,kivi_4bit_residual16,"Question: A coordinator asks whether the shipment can be split into two equal batches without changing the original date or destination. Answer yes/no and keep the constraints.
Answer:",131,Yes. Split 18 crates into two equal batches while keeping August 12 and destination warehouse-7 unchanged.,data/fixtures/pilot_session_trace_requests.jsonl,"0,1",balanced_two_gpu,2,0.0,983.4125936031342,15235.054429620504,2081.73905313015,0.0,983.5099428892136,0.09224563837051392,true,"0,1",balanced_two_gpu,persistent,,,,,medium,False,False,,,kivi_4bit_residual16,,,,qa-session-000-turn2__pressure_r1_c2,,,,,qa-session-000__pressure_r1_c2,eval,qa,,2
kivi,False,KIVI proof/runtime failed (kivi_4bit_residual16): AssertionError: ,,6,qwen2_kivi,4,false,new_session,False,199,edgekv-kivi,generate,kivi,[],quantized,32,1909,True,1232,140,9856,16,16,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,kivi_4bit_residual16,"Context: Team Borealis can ship exactly 19 crates on August 13. The destination must remain checkpoint-3. Keep those constraints for later.
Question: Repeat the shipping plan in one sentence.
Answer:",45,Team Borealis ships 19 crates on August 13 to checkpoint-3.,data/fixtures/pilot_session_trace_requests.jsonl,"0,1",balanced_two_gpu,2,0.0,368.1180626153946,15235.054429620504,2081.73905313015,0.0,368.21773648262024,0.09466707706451416,true,"0,1",balanced_two_gpu,persistent,,,,,medium,False,False,,,kivi_4bit_residual16,,,,qa-session-001-turn0__pressure_r1_c1,,,,,qa-session-001__pressure_r1_c1,eval,qa,,0
kivi,False,KIVI proof/runtime failed (kivi_4bit_residual16): AssertionError: ,,7,qwen2_kivi,4,false,new_session,False,199,edgekv-kivi,generate,kivi,[],quantized,32,2022,True,1344,168,10752,16,16,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,kivi_4bit_residual16,"Context: Team Borealis can ship exactly 19 crates on August 13. The destination must remain checkpoint-3. Keep those constraints for later.
Question: Repeat the shipping plan in one sentence.
Answer:",45,Team Borealis ships 19 crates on August 13 to checkpoint-3.,data/fixtures/pilot_session_trace_requests.jsonl,"0,1",balanced_two_gpu,2,0.0,238.03873360157013,15235.054429620504,2081.73905313015,0.0,238.14081400632858,0.09736791253089905,true,"0,1",balanced_two_gpu,persistent,,,,,medium,False,False,,,kivi_4bit_residual16,,,,qa-session-001-turn0__pressure_r1_c2,,,,,qa-session-001__pressure_r1_c2,eval,qa,,0
kivi,False,KIVI proof/runtime failed (kivi_4bit_residual16): AssertionError: ,,8,qwen2_kivi,4,false,new_session,False,357,edgekv-kivi,generate,kivi,"[""User: Context: Team Borealis can ship exactly 19 crates on August 13. The destination must remain checkpoint-3. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Borealis ships 19 crates on August 13 to checkpoint-3.""]",quantized,32,2022,True,1344,168,10752,16,16,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,kivi_4bit_residual16,"Question: What date was locked for the shipment, and what cannot change?
Answer:",85,August 13; the destination checkpoint-3 cannot change.,data/fixtures/pilot_session_trace_requests.jsonl,"0,1",balanced_two_gpu,2,0.0,1.749671995639801,15235.054429620504,2081.73905313015,0.0,1.844804733991623,0.09038671851158142,true,"0,1",balanced_two_gpu,persistent,,,,,medium,False,False,,,kivi_4bit_residual16,,,,qa-session-001-turn1__pressure_r1_c1,,,,,qa-session-001__pressure_r1_c1,calibration,qa,,1
kivi,False,KIVI proof/runtime failed (kivi_4bit_residual16): AssertionError: ,,9,qwen2_kivi,4,false,new_session,False,357,edgekv-kivi,generate,kivi,"[""User: Context: Team Borealis can ship exactly 19 crates on August 13. The destination must remain checkpoint-3. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Borealis ships 19 crates on August 13 to checkpoint-3.""]",quantized,32,2022,True,1344,168,10752,16,16,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,kivi_4bit_residual16,"Question: What date was locked for the shipment, and what cannot change?
Answer:",85,August 13; the destination checkpoint-3 cannot change.,data/fixtures/pilot_session_trace_requests.jsonl,"0,1",balanced_two_gpu,2,0.0,1.3390518724918365,15235.054429620504,2081.73905313015,0.0,1.4378130435943604,0.09462609887123108,true,"0,1",balanced_two_gpu,persistent,,,,,medium,False,False,,,kivi_4bit_residual16,,,,qa-session-001-turn1__pressure_r1_c2,,,,,qa-session-001__pressure_r1_c2,calibration,qa,,1
