adapter,error,latency_ms,measured,ok,output_text,peak_memory_mib,profile,quality_loss,quality_score,request_id,resident_memory_mib,ttft_ms,length_bucket,split,task,extra_backend,extra_bits,extra_builtin_request_fallback,extra_env,extra_error_type,extra_failure_stage,extra_family,extra_h2o_recent_size,extra_h2o_selected_size,extra_kivi_bits,extra_kivi_group_size,extra_kivi_residual_length,extra_metric_em,extra_metric_f1,extra_metric_rouge_l,extra_model,extra_stage_startup_ms,extra_stage_model_load_ms,extra_stage_tokenize_ms,extra_stage_transfer_ms,extra_stage_generate_ms,extra_stage_decode_ms,extra_stage_total_ms,extra_original_request_id,extra_profile_note,extra_reference,extra_repeat_index,extra_request_source,extra_returncode,extra_note,extra_strategy,extra_unsupported,extra_worker_mode,extra_vllm_cache_hits,extra_vllm_cache_misses,extra_vllm_cached_blocks,extra_vllm_evictions,extra_vllm_policy_time_ms,extra_vllm_eviction_decision_time_ms
full,,3366.9955022633076,True,True, The ground truth for fake news in the study is established through a dataset that was,5002.19970703125,full_gpu,0.0,1.0,longbench_qasper_000000,8699.46875,3366.9955022633076,long,calibration,qa_long_context,transformers,,false,,,,full,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,48.60841482877731,16612.578704953194,10.729659348726273,0.20837783813476562,3355.598047375679,0.22798404097557068,3366.9955022633076,,full/exact transformers smoke,Ground truth is not established in the paper,,zai-org/LongBench,,,,,batch,,,,,,
full,,618.8298836350441,True,True, Four brothers accused of fraudulently trading to the value of Â£1.,4366.58740234375,full_gpu,0.0,1.0,xsum_000000,8699.46875,618.8298836350441,medium,calibration,summary,transformers,,false,,,,full,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,48.60841482877731,16612.578704953194,1.0164044797420502,0.0957585871219635,617.3933371901512,0.13137608766555786,618.8298836350441,,full/exact transformers smoke,Former Premier League footballer Sam Sodje has appeared in court alongside three brothers accused of charity fraud.,,EdinburghNLP/xsum,,,,,batch,,,,,,
full,,631.8779289722443,True,True, Two teenagers have been charged over an incident involving a stolen car which crashed into a,4332.73974609375,full_gpu,0.0,1.0,xsum_000004,8699.46875,631.8779289722443,short,calibration,summary,transformers,,false,,,,full,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,48.60841482877731,16612.578704953194,0.6401762366294861,0.08305162191390991,630.7633109390736,0.1533105969429016,631.8779289722443,,full/exact transformers smoke,Two teenagers have been charged in connection with an incident in west Belfast in which a car collided with two police vehicles.,,EdinburghNLP/xsum,,,,,batch,,,,,,
full,,1010.6169916689396,True,True, Labour leadership contenders Harriet Harman and Andy Burnham have urged supporters of Jeremy,4874.29443359375,full_gpu,0.0,1.0,xsum_000009,8699.46875,1010.6169916689396,long,calibration,summary,transformers,,false,,,,full,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,48.60841482877731,16612.578704953194,5.522511899471283,0.18443912267684937,1004.5336671173573,0.1290254294872284,1010.6169916689396,,full/exact transformers smoke,Labour leadership hopefuls Liz Kendall and Yvette Cooper have said their supporters should back anyone other than Jeremy Corbyn in the contest.,,EdinburghNLP/xsum,,,,,batch,,,,,,
full,,1271.4656814932823,True,True," Prime Minister David Cameron has faced criticism after he described migrants in Calais as """,5323.30517578125,full_gpu,0.0,1.0,xsum_000071,8699.46875,1271.4656814932823,xl,calibration,summary,transformers,,false,,,,full,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,48.60841482877731,16612.578704953194,8.56839120388031,0.2183876931667328,1262.2040659189224,0.12228265404701233,1271.4656814932823,,full/exact transformers smoke,"David Cameron is facing Labour calls to apologise for calling refugees at a camp in Calais ""a bunch of migrants"" at Prime Minister's Questions.",,EdinburghNLP/xsum,,,,,batch,,,,,,
full,,1040.5244044959545,True,True, The GhostVLAD approach is a pooling strategy inspired by the work on face recognition,5040.16943359375,full_gpu,0.0,1.0,longbench_qasper_000001,8699.46875,1040.5244044959545,long,calibration,qa_long_context,transformers,,false,,,,full,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,48.60841482877731,16612.578704953194,5.075667053461075,0.13405084609985352,1034.8459891974926,0.11008232831954956,1040.5244044959545,,full/exact transformers smoke,"extension of the NetVLAD, adds Ghost clusters along with the NetVLAD clusters",,zai-org/LongBench,,,,,batch,,,,,,
full,,642.5238512456417,True,True, Middlesex have ruled out Australia batsman Adam Voges returning before the end of,4422.40380859375,full_gpu,0.0,1.0,xsum_000001,8699.46875,642.5238512456417,medium,calibration,summary,transformers,,false,,,,full,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,48.60841482877731,16612.578704953194,1.3010911643505096,0.09621679782867432,640.7833248376846,0.12275204062461853,642.5238512456417,,full/exact transformers smoke,Middlesex batsman Adam Voges will be out until August after suffering a torn calf muscle in his right leg.,,EdinburghNLP/xsum,,,,,batch,,,,,,
full,,578.9547674357891,True,True, A 21-year-old man has been seriously injured after being hit by a,4328.48388671875,full_gpu,0.0,1.0,xsum_000005,8699.46875,578.9547674357891,short,calibration,summary,transformers,,false,,,,full,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,48.60841482877731,16612.578704953194,0.5647465586662292,0.08558481931686401,577.9193043708801,0.11800974607467651,578.9547674357891,,full/exact transformers smoke,A pedestrian has been struck by a taxi in Dundee after it mounted the pavement.,,EdinburghNLP/xsum,,,,,batch,,,,,,
full,,845.4734422266483,True,True," School leaders are warning that cuts to budgets are leading to a ""bare bones education",4676.55615234375,full_gpu,0.0,1.0,xsum_000010,8699.46875,845.4734422266483,long,calibration,summary,transformers,,false,,,,full,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,48.60841482877731,16612.578704953194,2.866346389055252,0.10898709297180176,842.1770632266998,0.10209903120994568,845.4734422266483,,full/exact transformers smoke,"Head teachers say they are axing GCSE and A-level subjects, increasing class sizes and cutting support services as they struggle with school funding.",,EdinburghNLP/xsum,,,,,batch,,,,,,
full,,1315.331008285284,True,True, Liverpool drew 0-0 with Manchester United at Anfield in a tightly contested,5369.55908203125,full_gpu,0.0,1.0,xsum_000087,8699.46875,1315.331008285284,xl,calibration,summary,transformers,,false,,,,full,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,48.60841482877731,16612.578704953194,6.825186312198639,0.1685209572315216,1307.784080505371,0.14273449778556824,1315.331008285284,,full/exact transformers smoke,Liverpool and Manchester United played out a goalless and uneventful stalemate on a disappointing night at Anfield.,,EdinburghNLP/xsum,,,,,batch,,,,,,
full,,3366.091374307871,True,True, Their model outperforms previous state-of-the-art methods by 68.,4962.69287109375,full_gpu,0.0,1.0,longbench_qasper_000002,8625.41796875,3366.091374307871,long,calibration,qa_long_context,transformers,,false,,,,full,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,47.75121435523033,16467.237785458565,11.75316795706749,0.2950243651866913,3353.592112660408,0.21377578377723694,3366.091374307871,,full/exact transformers smoke,"the attention model, MDREA, also outperforms the best existing research results (WAP 0.690 to 0.688)",,zai-org/LongBench,,,,,batch,,,,,,
full,,700.4686892032623,True,True, The Duchess of Cambridge is to feature on the cover of British Vogue's centenary,4480.59912109375,full_gpu,0.0,1.0,xsum_000002,8625.41796875,700.4686892032623,medium,calibration,summary,transformers,,false,,,,full,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,47.75121435523033,16467.237785458565,2.3465119302272797,0.11085718870162964,697.5997127592564,0.15290826559066772,700.4686892032623,,full/exact transformers smoke,The Duchess of Cambridge will feature on the cover of British Vogue to mark the magazine's centenary.,,EdinburghNLP/xsum,,,,,batch,,,,,,
