adapter,error,extra_backend,extra_bits,extra_builtin_request_fallback,extra_env,extra_family,extra_h2o_cache_budget,extra_h2o_heavy_ratio,extra_h2o_heavy_size,extra_h2o_kept_tokens,extra_h2o_mask_events,extra_h2o_prompt_tokens,extra_h2o_prune_events,extra_h2o_recent_ratio,extra_h2o_recent_size,extra_kivi_effective_mode,extra_kivi_group_size,extra_kivi_kernel_calls,extra_kivi_quantization_triggered,extra_kivi_quantize_calls,extra_kivi_quantized_layers,extra_kivi_quantized_tokens,extra_kivi_residual_length,extra_max_new_tokens,extra_metric_em,extra_metric_f1,extra_metric_rouge_l,extra_model,extra_profile_note,extra_prompt_tokens,extra_reference,extra_request_source,extra_stage_decode_ms,extra_stage_generate_ms,extra_stage_model_load_ms,extra_stage_startup_ms,extra_stage_tokenize_ms,extra_stage_total_ms,extra_stage_transfer_ms,extra_ttft_semantics,extra_worker_mode,kv_cache_memory_mib,latency_ms,length_bucket,measured,ok,output_text,peak_memory_mib,profile,quality_loss,quality_score,request_id,resident_memory_mib,split,task,ttft_ms
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,Ground truth is not established in the paper,zai-org/LongBench,0.2221241593360901,3342.986583709717,16276.91749110818,47.986432909965515,18.14493164420128,3361.8524000048637,0.2757608890533447,unavailable,batch,66.609375,3361.8524000048637,long,True,True, The ground truth for fake news in the study is established through a dataset that was,5002.19970703125,full_gpu,0.0,1.0,longbench_qasper_000000,8697.7734375,calibration,qa_long_context,
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,Former Premier League footballer Sam Sodje has appeared in court alongside three brothers accused of charity fraud.,EdinburghNLP/xsum,0.15712901949882507,652.2707678377628,16276.91749110818,47.986432909965515,1.4973990619182587,654.2985402047634,0.10130926966667175,unavailable,batch,8.4765625,654.2985402047634,medium,True,True, Four brothers accused of fraudulently trading to the value of Â£1.,4366.58740234375,full_gpu,0.0,1.0,xsum_000000,8697.7734375,calibration,summary,
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,Two teenagers have been charged in connection with an incident in west Belfast in which a car collided with two police vehicles.,EdinburghNLP/xsum,0.1362338662147522,610.9627261757851,16276.91749110818,47.986432909965515,0.8759833872318268,612.28858679533,0.09494274854660034,unavailable,batch,5.359375,612.28858679533,short,True,True, Two teenagers have been charged over an incident involving a stolen car which crashed into a,4332.73974609375,full_gpu,0.0,1.0,xsum_000004,8697.7734375,calibration,summary,
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,Labour leadership hopefuls Liz Kendall and Yvette Cooper have said their supporters should back anyone other than Jeremy Corbyn in the contest.,EdinburghNLP/xsum,0.12001022696495056,1042.3406064510345,16276.91749110818,47.986432909965515,5.429927259683609,1048.3135543763638,0.16803666949272156,unavailable,batch,55.234375,1048.3135543763638,long,True,True, Labour leadership contenders Harriet Harman and Andy Burnham have urged supporters of Jeremy,4874.29443359375,full_gpu,0.0,1.0,xsum_000009,8697.7734375,calibration,summary,
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,"David Cameron is facing Labour calls to apologise for calling refugees at a camp in Calais ""a bunch of migrants"" at Prime Minister's Questions.",EdinburghNLP/xsum,0.11652708053588867,1285.8330570161343,16276.91749110818,47.986432909965515,8.73732939362526,1295.2670343220234,0.19954144954681396,unavailable,batch,96.0859375,1295.2670343220234,xl,True,True," Prime Minister David Cameron has faced criticism after he described migrants in Calais as """,5323.30517578125,full_gpu,0.0,1.0,xsum_000071,8697.7734375,calibration,summary,
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,"extension of the NetVLAD, adds Ghost clusters along with the NetVLAD clusters",zai-org/LongBench,0.10348856449127197,1070.4378224909306,16276.91749110818,47.986432909965515,5.908947438001633,1076.9279450178146,0.16439706087112427,unavailable,batch,70.21875,1076.9279450178146,long,True,True, The GhostVLAD approach is a pooling strategy inspired by the work on face recognition,5040.16943359375,full_gpu,0.0,1.0,longbench_qasper_000001,8697.7734375,calibration,qa_long_context,
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,Middlesex batsman Adam Voges will be out until August after suffering a torn calf muscle in his right leg.,EdinburghNLP/xsum,0.1093149185180664,634.7506083548069,16276.91749110818,47.986432909965515,1.161973923444748,636.4148296415806,0.08932128548622131,unavailable,batch,13.6171875,636.4148296415806,medium,True,True, Middlesex have ruled out Australia batsman Adam Voges returning before the end of,4422.40380859375,full_gpu,0.0,1.0,xsum_000001,8697.7734375,calibration,summary,
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,A pedestrian has been struck by a taxi in Dundee after it mounted the pavement.,EdinburghNLP/xsum,0.105343759059906,579.1178271174431,16276.91749110818,47.986432909965515,0.49753859639167786,580.0018981099129,0.08226931095123291,unavailable,batch,4.921875,580.0018981099129,short,True,True, A 21-year-old man has been seriously injured after being hit by a,4328.48388671875,full_gpu,0.0,1.0,xsum_000005,8697.7734375,calibration,summary,
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,"Head teachers say they are axing GCSE and A-level subjects, increasing class sizes and cutting support services as they struggle with school funding.",EdinburghNLP/xsum,0.10084733366966248,833.2362361252308,16276.91749110818,47.986432909965515,2.6443079113960266,836.3085426390171,0.11162459850311279,unavailable,batch,37.0234375,836.3085426390171,long,True,True," School leaders are warning that cuts to budgets are leading to a ""bare bones education",4676.55615234375,full_gpu,0.0,1.0,xsum_000010,8697.7734375,calibration,summary,
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,Liverpool and Manchester United played out a goalless and uneventful stalemate on a disappointing night at Anfield.,EdinburghNLP/xsum,0.14930590987205505,1366.055753082037,16276.91749110818,47.986432909965515,6.67903944849968,1373.3575977385044,0.1793690025806427,unavailable,batch,100.4609375,1373.3575977385044,xl,True,True, Liverpool drew 0-0 with Manchester United at Anfield in a tightly contested,5369.55908203125,full_gpu,0.0,1.0,xsum_000087,8697.7734375,calibration,summary,
