request_id,session_id,turn_index,arrival_index,task,prompt,reference,history_turns,split,original_request_id,original_session_id,pressure_round,pressure_copy,pressure_budget_mib
qa-session-000-turn0__pressure_r1_c1,qa-session-000__pressure_r1_c1,0,0,qa,"Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.
Question: Repeat the shipping plan in one sentence.
Answer:",Team Atlas ships 18 crates on August 12 to warehouse-7.,[],calibration,qa-session-000-turn0,qa-session-000,1,1,26.0
qa-session-000-turn0__pressure_r1_c2,qa-session-000__pressure_r1_c2,0,1,qa,"Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.
Question: Repeat the shipping plan in one sentence.
Answer:",Team Atlas ships 18 crates on August 12 to warehouse-7.,[],calibration,qa-session-000-turn0,qa-session-000,1,2,26.0
qa-session-000-turn1__pressure_r1_c1,qa-session-000__pressure_r1_c1,1,2,qa,"Question: What date was locked for the shipment, and what cannot change?
Answer:",August 12; the destination warehouse-7 cannot change.,"[""User: Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Atlas ships 18 crates on August 12 to warehouse-7.""]",calibration,qa-session-000-turn1,qa-session-000,1,1,26.0
qa-session-000-turn1__pressure_r1_c2,qa-session-000__pressure_r1_c2,1,3,qa,"Question: What date was locked for the shipment, and what cannot change?
Answer:",August 12; the destination warehouse-7 cannot change.,"[""User: Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Atlas ships 18 crates on August 12 to warehouse-7.""]",calibration,qa-session-000-turn1,qa-session-000,1,2,26.0
qa-session-000-turn2__pressure_r1_c1,qa-session-000__pressure_r1_c1,2,4,qa,"Question: A coordinator asks whether the shipment can be split into two equal batches without changing the original date or destination. Answer yes/no and keep the constraints.
Answer:",Yes. Split 18 crates into two equal batches while keeping August 12 and destination warehouse-7 unchanged.,"[""User: Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Atlas ships 18 crates on August 12 to warehouse-7."", ""User: Question: What date was locked for the shipment, and what cannot change?\nAnswer:"", ""Assistant: August 12; the destination warehouse-7 cannot change.""]",eval,qa-session-000-turn2,qa-session-000,1,1,26.0
qa-session-000-turn2__pressure_r1_c2,qa-session-000__pressure_r1_c2,2,5,qa,"Question: A coordinator asks whether the shipment can be split into two equal batches without changing the original date or destination. Answer yes/no and keep the constraints.
Answer:",Yes. Split 18 crates into two equal batches while keeping August 12 and destination warehouse-7 unchanged.,"[""User: Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Atlas ships 18 crates on August 12 to warehouse-7."", ""User: Question: What date was locked for the shipment, and what cannot change?\nAnswer:"", ""Assistant: August 12; the destination warehouse-7 cannot change.""]",eval,qa-session-000-turn2,qa-session-000,1,2,26.0
qa-session-001-turn0__pressure_r1_c1,qa-session-001__pressure_r1_c1,0,6,qa,"Context: Team Borealis can ship exactly 19 crates on August 13. The destination must remain checkpoint-3. Keep those constraints for later.
Question: Repeat the shipping plan in one sentence.
Answer:",Team Borealis ships 19 crates on August 13 to checkpoint-3.,[],eval,qa-session-001-turn0,qa-session-001,1,1,26.0
qa-session-001-turn0__pressure_r1_c2,qa-session-001__pressure_r1_c2,0,7,qa,"Context: Team Borealis can ship exactly 19 crates on August 13. The destination must remain checkpoint-3. Keep those constraints for later.
Question: Repeat the shipping plan in one sentence.
Answer:",Team Borealis ships 19 crates on August 13 to checkpoint-3.,[],eval,qa-session-001-turn0,qa-session-001,1,2,26.0
qa-session-001-turn1__pressure_r1_c1,qa-session-001__pressure_r1_c1,1,8,qa,"Question: What date was locked for the shipment, and what cannot change?
Answer:",August 13; the destination checkpoint-3 cannot change.,"[""User: Context: Team Borealis can ship exactly 19 crates on August 13. The destination must remain checkpoint-3. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Borealis ships 19 crates on August 13 to checkpoint-3.""]",calibration,qa-session-001-turn1,qa-session-001,1,1,26.0
qa-session-001-turn1__pressure_r1_c2,qa-session-001__pressure_r1_c2,1,9,qa,"Question: What date was locked for the shipment, and what cannot change?
Answer:",August 13; the destination checkpoint-3 cannot change.,"[""User: Context: Team Borealis can ship exactly 19 crates on August 13. The destination must remain checkpoint-3. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Borealis ships 19 crates on August 13 to checkpoint-3.""]",calibration,qa-session-001-turn1,qa-session-001,1,2,26.0
