adapter,error,extra_backend,extra_bits,extra_builtin_request_fallback,extra_env,extra_family,extra_h2o_cache_budget,extra_h2o_heavy_ratio,extra_h2o_heavy_size,extra_h2o_kept_tokens,extra_h2o_mask_events,extra_h2o_prompt_tokens,extra_h2o_prune_events,extra_h2o_recent_ratio,extra_h2o_recent_size,extra_kivi_effective_mode,extra_kivi_group_size,extra_kivi_kernel_calls,extra_kivi_quantization_triggered,extra_kivi_quantize_calls,extra_kivi_quantized_layers,extra_kivi_quantized_tokens,extra_kivi_residual_length,extra_max_new_tokens,extra_metric_em,extra_metric_f1,extra_metric_rouge_l,extra_model,extra_profile_note,extra_prompt_tokens,extra_reference,extra_request_source,extra_stage_decode_ms,extra_stage_first_token_ms,extra_stage_generate_ms,extra_stage_model_load_ms,extra_stage_prefill_ms,extra_stage_startup_ms,extra_stage_tokenize_ms,extra_stage_total_ms,extra_stage_transfer_ms,extra_ttft_semantics,extra_worker_mode,kv_cache_memory_mib,latency_ms,length_bucket,measured,ok,output_text,peak_memory_mib,profile,quality_loss,quality_score,request_id,resident_memory_mib,split,task,ttft_ms
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,Ground truth is not established in the paper,zai-org/LongBench,0.0,2937.4827034771442,3454.1357681155205,16188.205007463694,2925.5762733519077,44.44912075996399,11.383246630430222,3466.381248086691,0.2760179340839386,first_token,batch,66.609375,3466.381248086691,long,True,True, The ground truth for fake news in the study is established through a dataset that was,5035.65283203125,full_gpu,0.0,1.0,longbench_qasper_000000,8648.84765625,calibration,qa_long_context,2937.4827034771442
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,Former Premier League footballer Sam Sodje has appeared in court alongside three brothers accused of charity fraud.,EdinburghNLP/xsum,0.0,86.93027123808861,592.6120094954967,16188.205007463694,85.67357435822487,44.44912075996399,1.064002513885498,594.2337475717068,0.0937432050704956,first_token,batch,8.4765625,594.2337475717068,medium,True,True," Four brothers, including a former footballer, have denied fraud charges in relation to",4369.31396484375,full_gpu,0.0,1.0,xsum_000000,8648.84765625,calibration,summary,86.93027123808861
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,Two teenagers have been charged in connection with an incident in west Belfast in which a car collided with two police vehicles.,EdinburghNLP/xsum,0.0,63.42209875583649,573.6068896949291,16188.205007463694,62.57365271449089,44.44912075996399,0.6738007068634033,574.8185850679874,0.08757412433624268,first_token,batch,5.359375,574.8185850679874,short,True,True, Two teenagers have been charged in connection with a crash involving a stolen car which left,4333.90966796875,full_gpu,0.0,1.0,xsum_000004,8648.84765625,calibration,summary,63.42209875583649
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,Labour leadership hopefuls Liz Kendall and Yvette Cooper have said their supporters should back anyone other than Jeremy Corbyn in the contest.,EdinburghNLP/xsum,0.0,460.219856351614,969.7225391864777,16188.205007463694,455.0137408077717,44.44912075996399,4.973463714122772,975.235790014267,0.12879818677902222,first_token,batch,55.234375,975.235790014267,long,True,True, Labour leadership contenders have urged supporters to vote tactically in the party's contest to,4900.37451171875,full_gpu,0.0,1.0,xsum_000009,8648.84765625,calibration,summary,460.219856351614
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,"David Cameron is facing Labour calls to apologise for calling refugees at a camp in Calais ""a bunch of migrants"" at Prime Minister's Questions.",EdinburghNLP/xsum,0.0,725.1536771655083,1231.8978905677795,16188.205007463694,717.4202837049961,44.44912075996399,7.474031299352646,1240.0866523385048,0.15764683485031128,first_token,batch,96.0859375,1240.0866523385048,xl,True,True, Prime Minister David Cameron has faced criticism after he said Labour leader Jeremy Corbyn had told,5371.27685546875,full_gpu,0.0,1.0,xsum_000071,8648.84765625,calibration,summary,725.1536771655083
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,"extension of the NetVLAD, adds Ghost clusters along with the NetVLAD clusters",zai-org/LongBench,0.0,520.1578065752983,1048.8982573151588,16188.205007463694,515.1435434818268,44.44912075996399,4.754330962896347,1054.3583445250988,0.14401599764823914,first_token,batch,70.21875,1054.3583445250988,long,True,True, The GhostVLAD approach is a pooling strategy inspired by the work on face recognition,5075.72802734375,full_gpu,0.0,1.0,longbench_qasper_000001,8648.84765625,calibration,qa_long_context,520.1578065752983
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,Middlesex batsman Adam Voges will be out until August after suffering a torn calf muscle in his right leg.,EdinburghNLP/xsum,0.0,113.9259859919548,635.4831010103226,16188.205007463694,112.41495609283447,44.44912075996399,1.3128593564033508,637.4061033129692,0.09576231241226196,first_token,batch,13.6171875,637.4061033129692,medium,True,True, Middlesex have ruled out Australia batsman Adam Voges for the rest of the,4429.48583984375,full_gpu,0.0,1.0,xsum_000001,8648.84765625,calibration,summary,113.9259859919548
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,A pedestrian has been struck by a taxi in Dundee after it mounted the pavement.,EdinburghNLP/xsum,0.0,61.4665150642395,573.3581520617008,16188.205007463694,60.81046164035797,44.44912075996399,0.48863887786865234,574.4062438607216,0.0833757221698761,first_token,batch,4.921875,574.4062438607216,short,True,True, A 21-year-old man has been seriously injured after being hit by a,4329.43505859375,full_gpu,0.0,1.0,xsum_000005,8648.84765625,calibration,summary,61.4665150642395
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,"Head teachers say they are axing GCSE and A-level subjects, increasing class sizes and cutting support services as they struggle with school funding.",EdinburghNLP/xsum,0.0,328.90260964632034,835.47642827034,16188.205007463694,326.1323980987072,44.44912075996399,2.5444254279136658,838.5093361139297,0.11601671576499939,first_token,batch,37.0234375,838.5093361139297,long,True,True," School leaders are warning that cuts to budgets are leading to a ""bare bones education",4693.54052734375,full_gpu,0.0,1.0,xsum_000010,8648.84765625,calibration,summary,328.90260964632034
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,Liverpool and Manchester United played out a goalless and uneventful stalemate on a disappointing night at Anfield.,EdinburghNLP/xsum,0.0,789.4338183104992,1294.0927222371101,16188.205007463694,782.7009446918964,44.44912075996399,6.440788507461548,1301.179550588131,0.1521669328212738,first_token,batch,100.4609375,1301.179550588131,xl,True,True, Liverpool were held to a goalless draw by Manchester United at Anfield in a,5419.32568359375,full_gpu,0.0,1.0,xsum_000087,8648.84765625,calibration,summary,789.4338183104992
