adapter,budget_hit,error,evicted_kv_mib,extra_arrival_index,extra_backend,extra_bits,extra_builtin_request_fallback,extra_cache_rebuild_reason,extra_cache_reused,extra_effective_prompt_chars,extra_env,extra_family,extra_gpu0_peak_memory_mib,extra_gpu1_peak_memory_mib,extra_h2o_cache_budget,extra_h2o_heavy_ratio,extra_h2o_heavy_size,extra_h2o_kept_tokens,extra_h2o_mask_events,extra_h2o_prompt_tokens,extra_h2o_prune_events,extra_h2o_recent_ratio,extra_h2o_recent_size,extra_history_turns,extra_kivi_effective_mode,extra_kivi_group_size,extra_kivi_kernel_calls,extra_kivi_quantization_triggered,extra_kivi_quantize_calls,extra_kivi_quantized_layers,extra_kivi_quantized_tokens,extra_kivi_residual_length,extra_max_new_tokens,extra_metric_loss_em,extra_metric_loss_f1,extra_metric_loss_rouge_l,extra_model,extra_primary_metric,extra_profile_note,extra_prompt_text,extra_prompt_tokens,extra_reference,extra_request_source,extra_stage_decode_ms,extra_stage_first_token_ms,extra_stage_generate_ms,extra_stage_model_load_ms,extra_stage_prefill_ms,extra_stage_startup_ms,extra_stage_tokenize_ms,extra_stage_total_ms,extra_stage_transfer_ms,extra_ttft_semantics,extra_worker_mode,kv_cache_memory_mib,kv_cumulative_mib,kv_incremental_mib,latency_ms,length_bucket,measured,ok,output_text,peak_memory_mib,profile,quality_loss,quality_score,recompute_ms,request_id,resident_kv_mib_after,resident_kv_mib_before,resident_memory_mib,restore_ms,session_id,split,task,ttft_ms,turn_index
full,False,,0.0,0,qwen2_exact_runtime,,false,,,95,tailguardkv-base,full,7530.79345703125,7535.443359375,,,,,,,,,,[],,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact qwen2 runtime,"Context:
TailGuardKV keeps per-session KV state.

Question:
What does resident KV mean?
Answer:",,resident KV is the portion of cached key/value state still kept in memory,data/fixtures/pilot_session_trace_requests.jsonl,0.0,2068.1072287261486,2623.867653310299,15291.484091430902,2061.9356967508793,1915.7267659902573,5.706209689378738,2630.245853215456,0.25167688727378845,first_token,persistent,1.96875,1.96875,1.96875,2630.245853215456,short,True,True,![](http://www.slashdot.org/images/16/05,15066.23681640625,full_gpu,0.0,1.0,0.0,session_a_turn_000__pressure_r1_c1,1.96875,0.0,7762.15625,0.0,session-a__pressure_r1_c1,calibration,qa,2068.1072287261486,0
full,False,,0.0,1,qwen2_exact_runtime,,false,,,95,tailguardkv-base,full,7531.77783203125,7536.427734375,,,,,,,,,,[],,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact qwen2 runtime,"Context:
TailGuardKV keeps per-session KV state.

Question:
What does resident KV mean?
Answer:",,resident KV is the portion of cached key/value state still kept in memory,data/fixtures/pilot_session_trace_requests.jsonl,0.0,53.753260523080826,623.7210854887962,15291.484091430902,53.200896829366684,1915.7267659902573,0.3576017916202545,624.4253516197205,0.09313225746154785,first_token,persistent,1.96875,1.96875,1.96875,624.4253516197205,short,True,True,![](http://www.slashdot.org/images/16/05,15068.20556640625,full_gpu,0.0,1.0,0.0,session_a_turn_000__pressure_r1_c2,1.96875,0.0,7762.15625,0.0,session-a__pressure_r1_c2,calibration,qa,53.753260523080826,0
full,False,,0.0,2,qwen2_exact_runtime,,false,,,193,tailguardkv-base,full,7543.42431640625,7552.41796875,,,,,,,,,,[],,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact qwen2 runtime,"Summarize:
Session B starts with a medium-length document about cache eviction and restore costs. The important point is that offloading saves memory but may add restore latency later.
Summary:",,Offloading reduces memory pressure but can add restore latency when the session resumes.,data/fixtures/pilot_session_trace_requests.jsonl,0.0,58.083485811948776,642.6131427288055,15291.484091430902,57.093292474746704,1915.7267659902573,0.7879510521888733,643.7470614910126,0.09956210851669312,first_token,persistent,2.84375,2.84375,2.84375,643.7470614910126,medium,True,True,! Session B begins! The!!! session! starts! with!!,15095.84228515625,full_gpu,0.0,1.0,0.0,session_b_turn_000__pressure_r1_c1,2.84375,0.0,7762.15625,0.0,session-b__pressure_r1_c1,calibration,summary,58.083485811948776,0
full,False,,0.0,3,qwen2_exact_runtime,,false,,,193,tailguardkv-base,full,7544.84619140625,7553.83984375,,,,,,,,,,[],,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact qwen2 runtime,"Summarize:
Session B starts with a medium-length document about cache eviction and restore costs. The important point is that offloading saves memory but may add restore latency later.
Summary:",,Offloading reduces memory pressure but can add restore latency when the session resumes.,data/fixtures/pilot_session_trace_requests.jsonl,0.0,56.4388781785965,640.2169279754162,15291.484091430902,55.86806312203407,1915.7267659902573,0.37659332156181335,640.9597955644131,0.09295716881752014,first_token,persistent,2.84375,2.84375,2.84375,640.9597955644131,medium,True,True,! Session B begins! The!!! session! starts! with!!,15098.68603515625,full_gpu,0.0,1.0,0.0,session_b_turn_000__pressure_r1_c2,2.84375,0.0,7762.15625,0.0,session-b__pressure_r1_c2,calibration,summary,56.4388781785965,0
full,False,,0.0,4,qwen2_exact_runtime,,false,,,301,tailguardkv-base,full,7562.19921875,7578.236328125,,,,,,,,,,"[""User: Context:\nTailGuardKV keeps per-session KV state.\n\nQuestion:\nWhat does resident KV mean?\nAnswer:"", ""Assistant: resident KV is the portion of cached key/value state still kept in memory""]",,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact qwen2 runtime,"Context:
TailGuardKV tracks offloaded and dropped state separately.

Question:
Which one causes recompute?
Answer:",,dropped state causes recompute when the session returns,data/fixtures/pilot_session_trace_requests.jsonl,0.0,62.021806836128235,631.3238814473152,15291.484091430902,60.843661427497864,1915.7267659902573,0.9711757302284241,632.6465606689453,0.09189918637275696,first_token,persistent,4.265625,4.265625,2.296875,632.6465606689453,short,True,True," 
Recompute!! is!!!!! typically!! caused!",15140.435546875,full_gpu,0.0,1.0,0.0,session_a_turn_001__pressure_r1_c1,4.265625,1.96875,7762.15625,0.0,session-a__pressure_r1_c1,calibration,qa,62.021806836128235,1
full,False,,0.0,5,qwen2_exact_runtime,,false,,,301,tailguardkv-base,full,7564.33203125,7580.369140625,,,,,,,,,,"[""User: Context:\nTailGuardKV keeps per-session KV state.\n\nQuestion:\nWhat does resident KV mean?\nAnswer:"", ""Assistant: resident KV is the portion of cached key/value state still kept in memory""]",,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact qwen2 runtime,"Context:
TailGuardKV tracks offloaded and dropped state separately.

Question:
Which one causes recompute?
Answer:",,dropped state causes recompute when the session returns,data/fixtures/pilot_session_trace_requests.jsonl,0.0,60.768719762563705,616.4503023028374,15291.484091430902,60.13363599777222,1915.7267659902573,0.43959543108940125,617.2128655016422,0.09821727871894836,first_token,persistent,4.265625,4.265625,2.296875,617.2128655016422,short,True,True," 
Recompute!! is!!!!! typically!! caused!",15144.701171875,full_gpu,0.0,1.0,0.0,session_a_turn_001__pressure_r1_c2,4.265625,1.96875,7762.15625,0.0,session-a__pressure_r1_c2,calibration,qa,60.768719762563705,1
full,False,,0.0,6,qwen2_exact_runtime,,false,,,209,tailguardkv-base,full,7549.36376953125,7558.0859375,,,,,,,,,,[],,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact qwen2 runtime,"Summarize:
Session C carries a longer report about memory budgeting across many concurrent conversations. It emphasizes that the system should separate policy-level filtering from backend budget hits.
Summary:",,The report distinguishes policy budget filtering from real backend budget hits under concurrency.,data/fixtures/pilot_session_trace_requests.jsonl,0.0,56.91102147102356,612.0018698275089,15291.484091430902,56.07881397008896,1915.7267659902573,0.646933913230896,612.9797287285328,0.09123608469963074,first_token,persistent,2.7890625,2.7890625,2.7890625,612.9797287285328,long,True,True,! Session!!!! C! focuses! on!!!!!,15107.44970703125,full_gpu,0.0,1.0,0.0,session_c_turn_000__pressure_r1_c1,2.7890625,0.0,7762.15625,0.0,session-c__pressure_r1_c1,calibration,summary,56.91102147102356,0
full,False,,0.0,7,qwen2_exact_runtime,,false,,,209,tailguardkv-base,full,7550.75830078125,7559.48046875,,,,,,,,,,[],,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact qwen2 runtime,"Summarize:
Session C carries a longer report about memory budgeting across many concurrent conversations. It emphasizes that the system should separate policy-level filtering from backend budget hits.
Summary:",,The report distinguishes policy budget filtering from real backend budget hits under concurrency.,data/fixtures/pilot_session_trace_requests.jsonl,0.0,55.78044056892395,607.185110449791,15291.484091430902,55.20336329936981,1915.7267659902573,0.3886111080646515,607.8860238194466,0.08818507194519043,first_token,persistent,2.7890625,2.7890625,2.7890625,607.8860238194466,long,True,True,! Session!!!! C! focuses! on!!!!!,15110.23876953125,full_gpu,0.0,1.0,0.0,session_c_turn_000__pressure_r1_c2,2.7890625,0.0,7762.15625,0.0,session-c__pressure_r1_c2,calibration,summary,55.78044056892395,0
full,False,,0.0,8,qwen2_exact_runtime,,false,,,426,tailguardkv-base,full,7582.01171875,7602.90625,,,,,,,,,,"[""User: Summarize:\nSession B starts with a medium-length document about cache eviction and restore costs. The important point is that offloading saves memory but may add restore latency later.\nSummary:"", ""Assistant: Offloading reduces memory pressure but can add restore latency when the session resumes.""]",,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact qwen2 runtime,"Summarize:
The follow-up for session B discusses how restore events can increase TTFT even when average memory drops.
Summary:",,Restore events can raise TTFT even if average memory usage goes down.,data/fixtures/pilot_session_trace_requests.jsonl,0.0,66.54733791947365,636.9031332433224,15291.484091430902,65.63304737210274,1915.7267659902573,0.728219747543335,637.9615142941475,0.08955597877502441,first_token,persistent,5.3046875,5.3046875,2.4609375,637.9615142941475,medium,True,True," 
Restore! events!!! can! increase!!!!!!",15184.91796875,full_gpu,0.0,1.0,0.0,session_b_turn_001__pressure_r1_c1,5.3046875,2.84375,7762.15625,0.0,session-b__pressure_r1_c1,calibration,summary,66.54733791947365,1
full,False,,0.0,9,qwen2_exact_runtime,,false,,,426,tailguardkv-base,full,7584.6640625,7605.55859375,,,,,,,,,,"[""User: Summarize:\nSession B starts with a medium-length document about cache eviction and restore costs. The important point is that offloading saves memory but may add restore latency later.\nSummary:"", ""Assistant: Offloading reduces memory pressure but can add restore latency when the session resumes.""]",,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact qwen2 runtime,"Summarize:
The follow-up for session B discusses how restore events can increase TTFT even when average memory drops.
Summary:",,Restore events can raise TTFT even if average memory usage goes down.,data/fixtures/pilot_session_trace_requests.jsonl,0.0,65.80232828855515,638.2166221737862,15291.484091430902,64.964409917593,1915.7267659902573,0.6307289004325867,639.1921229660511,0.10180100798606873,first_token,persistent,5.3046875,5.3046875,2.4609375,639.1921229660511,medium,True,True," 
Restore! events!!! can! increase!!!!!!",15190.22265625,full_gpu,0.0,1.0,0.0,session_b_turn_001__pressure_r1_c2,5.3046875,2.84375,7762.15625,0.0,session-b__pressure_r1_c2,calibration,summary,65.80232828855515,1
