adapter,error,session_id,turn_index,latency_ms,measured,ok,output_text,peak_memory_mib,kv_cache_memory_mib,kv_incremental_mib,kv_cumulative_mib,profile,quality_loss,quality_score,request_id,resident_memory_mib,resident_kv_mib_before,resident_kv_mib_after,restore_ms,recompute_ms,evicted_kv_mib,budget_hit,ttft_ms,length_bucket,split,task,extra_backend,extra_bits,extra_builtin_request_fallback,extra_dry_run,extra_env,extra_error_type,extra_failure_stage,extra_family,extra_h2o_recent_size,extra_h2o_selected_size,extra_h2o_kept_tokens,extra_h2o_cache_budget,extra_h2o_prompt_tokens,extra_kivi_bits,extra_kivi_effective_mode,extra_kivi_group_size,extra_kivi_quantization_triggered,extra_kivi_residual_length,extra_metric_loss_em,extra_metric_loss_f1,extra_metric_loss_rouge_l,extra_model,extra_arrival_index,extra_history_turns,extra_prompt_text,extra_effective_prompt_chars,extra_primary_metric,extra_runtime_cuda_visible_devices,extra_runtime_device_strategy,extra_runtime_visible_device_count,extra_stage_startup_ms,extra_stage_model_load_ms,extra_stage_tokenize_ms,extra_stage_transfer_ms,extra_stage_generate_ms,extra_stage_decode_ms,extra_stage_prefill_ms,extra_stage_first_token_ms,extra_stage_total_ms,extra_original_request_id,extra_profile_note,extra_reference,extra_repeat_index,extra_request_source,extra_returncode,extra_note,extra_source,extra_strategy,extra_ttft_semantics,extra_unsupported,extra_worker_cuda_visible_devices,extra_worker_device_strategy,extra_worker_mode,extra_vllm_cache_hits,extra_vllm_cache_misses,extra_vllm_cached_blocks,extra_vllm_evictions,extra_vllm_policy_time_ms,extra_vllm_eviction_decision_time_ms
full,,qa-session-000__pressure_r1_c1,0,2316.2939846515656,True,True,![](https://d1ynq5sw1v5nyr.cloud,15100.05322265625,3.171875,3.171875,3.171875,full_gpu,0.0,1.0,qa-session-000-turn0__pressure_r1_c1,7763.37890625,0.0,3.171875,0.0,0.0,0.0,False,1709.4226069748402,medium,calibration,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,0,[],"Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.
Question: Repeat the shipping plan in one sentence.
Answer:",195,f1,"0,1",balanced_two_gpu,2,2238.722112029791,17881.10912963748,4.388190805912018,0.1689419150352478,2311.3750368356705,0.0,1704.6817131340504,1709.4226069748402,2316.2939846515656,,full/exact qwen2 runtime,Team Atlas ships 18 crates on August 12 to warehouse-7.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
full,,qa-session-000__pressure_r1_c2,0,649.2509730160236,True,True,![](https://d1ynq5sw1v5nyr.cloud,15103.22509765625,3.171875,3.171875,3.171875,full_gpu,0.0,1.0,qa-session-000-turn0__pressure_r1_c2,7763.37890625,0.0,3.171875,0.0,0.0,0.0,False,59.61032211780548,medium,calibration,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,1,[],"Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.
Question: Repeat the shipping plan in one sentence.
Answer:",195,f1,"0,1",balanced_two_gpu,2,2238.722112029791,17881.10912963748,0.4062466323375702,0.09308010339736938,648.4781838953495,0.0,58.9948371052742,59.61032211780548,649.2509730160236,,full/exact qwen2 runtime,Team Atlas ships 18 crates on August 12 to warehouse-7.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
full,,qa-session-000__pressure_r1_c1,1,654.4289290904999,True,True, The! shipment!! date! is!!!!!!! August,15165.1064453125,5.25,2.078125,5.25,full_gpu,0.0,1.0,qa-session-000-turn1__pressure_r1_c1,7763.37890625,3.171875,5.25,0.0,0.0,0.0,False,70.74090465903282,medium,calibration,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,2,"[""User: Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Atlas ships 18 crates on August 12 to warehouse-7.""]","Question: What date was locked for the shipment, and what cannot change?
Answer:",349,f1,"0,1",balanced_two_gpu,2,2238.722112029791,17881.10912963748,0.7184706628322601,0.11204928159713745,653.3045098185539,0.0,69.78654116392136,70.74090465903282,654.4289290904999,,full/exact qwen2 runtime,August 12; the destination warehouse-7 cannot change.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
full,,qa-session-000__pressure_r1_c2,1,663.8706773519516,True,True, The! shipment!! date! is!!!!!!! August,15170.3564453125,5.25,2.078125,5.25,full_gpu,0.0,1.0,qa-session-000-turn1__pressure_r1_c2,7763.37890625,3.171875,5.25,0.0,0.0,0.0,False,69.00064274668694,medium,calibration,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,3,"[""User: Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Atlas ships 18 crates on August 12 to warehouse-7.""]","Question: What date was locked for the shipment, and what cannot change?
Answer:",349,f1,"0,1",balanced_two_gpu,2,2238.722112029791,17881.10912963748,0.5360022187232971,0.10197237133979797,662.9717089235783,0.0,68.20349395275116,69.00064274668694,663.8706773519516,,full/exact qwen2 runtime,August 12; the destination warehouse-7 cannot change.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
full,,qa-session-000__pressure_r1_c1,2,699.3323229253292,True,True," No, the! original!!!!! shipment!! !must!",15253.275390625,7.984375,2.734375,7.984375,full_gpu,0.0,1.0,qa-session-000-turn2__pressure_r1_c1,7763.37890625,5.25,7.984375,0.0,0.0,0.0,False,98.15912693738937,medium,eval,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,4,"[""User: Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Atlas ships 18 crates on August 12 to warehouse-7."", ""User: Question: What date was locked for the shipment, and what cannot change?\nAnswer:"", ""Assistant: August 12; the destination warehouse-7 cannot change.""]","Question: A coordinator asks whether the shipment can be split into two equal batches without changing the original date or destination. Answer yes/no and keep the constraints.
Answer:",605,f1,"0,1",balanced_two_gpu,2,2238.722112029791,17881.10912963748,0.9414851665496826,0.10216981172561646,698.0151608586311,0.0,97.00402989983559,98.15912693738937,699.3323229253292,,full/exact qwen2 runtime,Yes. Split 18 crates into two equal batches while keeping August 12 and destination warehouse-7 unchanged.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
full,,qa-session-000__pressure_r1_c2,2,680.6042268872261,True,True," No, the! original!!!!! shipment!! !must!",15261.259765625,7.984375,2.734375,7.984375,full_gpu,0.0,1.0,qa-session-000-turn2__pressure_r1_c2,7763.37890625,5.25,7.984375,0.0,0.0,0.0,False,90.77873080968857,medium,eval,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,5,"[""User: Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Atlas ships 18 crates on August 12 to warehouse-7."", ""User: Question: What date was locked for the shipment, and what cannot change?\nAnswer:"", ""Assistant: August 12; the destination warehouse-7 cannot change.""]","Question: A coordinator asks whether the shipment can be split into two equal batches without changing the original date or destination. Answer yes/no and keep the constraints.
Answer:",605,f1,"0,1",balanced_two_gpu,2,2238.722112029791,17881.10912963748,0.6944537162780762,0.10541453957557678,679.5534566044807,0.0,89.8619219660759,90.77873080968857,680.6042268872261,,full/exact qwen2 runtime,Yes. Split 18 crates into two equal batches while keeping August 12 and destination warehouse-7 unchanged.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
full,,qa-session-001__pressure_r1_c1,0,657.3828086256981,True,True,![](https://d1ynq5sw1vnuu5.cloud,15136.88818359375,3.28125,3.28125,3.28125,full_gpu,0.0,1.0,qa-session-001-turn0__pressure_r1_c1,7763.37890625,0.0,3.28125,0.0,0.0,0.0,False,57.39821493625641,medium,eval,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,6,[],"Context: Team Borealis can ship exactly 19 crates on August 13. The destination must remain checkpoint-3. Keep those constraints for later.
Question: Repeat the shipping plan in one sentence.
Answer:",199,f1,"0,1",balanced_two_gpu,2,2238.722112029791,17881.10912963748,0.4661679267883301,0.1004338264465332,656.5311960875988,0.0,56.67666345834732,57.39821493625641,657.3828086256981,,full/exact qwen2 runtime,Team Borealis ships 19 crates on August 13 to checkpoint-3.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
full,,qa-session-001__pressure_r1_c2,0,635.5911307036877,True,True,![](https://d1ynq5sw1vnuu5.cloud,15140.16943359375,3.28125,3.28125,3.28125,full_gpu,0.0,1.0,qa-session-001-turn0__pressure_r1_c2,7763.37890625,0.0,3.28125,0.0,0.0,0.0,False,57.07845091819763,medium,eval,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,7,[],"Context: Team Borealis can ship exactly 19 crates on August 13. The destination must remain checkpoint-3. Keep those constraints for later.
Question: Repeat the shipping plan in one sentence.
Answer:",199,f1,"0,1",balanced_two_gpu,2,2238.722112029791,17881.10912963748,0.3892071545124054,0.09972602128982544,634.8456665873528,0.0,56.479502469301224,57.07845091819763,635.5911307036877,,full/exact qwen2 runtime,Team Borealis ships 19 crates on August 13 to checkpoint-3.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
full,,qa-session-001__pressure_r1_c1,1,666.0313867032528,True,True, The! shipment!! date!!! of!!!!!!,15204.349609375,5.46875,2.1875,5.46875,full_gpu,0.0,1.0,qa-session-001-turn1__pressure_r1_c1,7763.37890625,3.28125,5.46875,0.0,0.0,0.0,False,67.15037301182747,medium,calibration,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,8,"[""User: Context: Team Borealis can ship exactly 19 crates on August 13. The destination must remain checkpoint-3. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Borealis ships 19 crates on August 13 to checkpoint-3.""]","Question: What date was locked for the shipment, and what cannot change?
Answer:",357,f1,"0,1",balanced_two_gpu,2,2238.722112029791,17881.10912963748,0.507943332195282,0.0933520495891571,665.1774011552334,0.0,66.44977256655693,67.15037301182747,666.0313867032528,,full/exact qwen2 runtime,August 13; the destination checkpoint-3 cannot change.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
full,,qa-session-001__pressure_r1_c2,1,674.0295998752117,True,True, The! shipment!! date!!! of!!!!!!,15209.818359375,5.46875,2.1875,5.46875,full_gpu,0.0,1.0,qa-session-001-turn1__pressure_r1_c2,7763.37890625,3.28125,5.46875,0.0,0.0,0.0,False,67.72511079907417,medium,calibration,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,9,"[""User: Context: Team Borealis can ship exactly 19 crates on August 13. The destination must remain checkpoint-3. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Borealis ships 19 crates on August 13 to checkpoint-3.""]","Question: What date was locked for the shipment, and what cannot change?
Answer:",357,f1,"0,1",balanced_two_gpu,2,2238.722112029791,17881.10912963748,0.5488507449626923,0.12437999248504639,673.0590760707855,0.0,66.93408265709877,67.72511079907417,674.0295998752117,,full/exact qwen2 runtime,August 13; the destination checkpoint-3 cannot change.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
