adapter,error,extra_backend,extra_bits,extra_builtin_request_fallback,extra_env,extra_family,extra_h2o_cache_budget,extra_h2o_heavy_ratio,extra_h2o_heavy_size,extra_h2o_kept_tokens,extra_h2o_mask_events,extra_h2o_prompt_tokens,extra_h2o_prune_events,extra_h2o_recent_ratio,extra_h2o_recent_size,extra_kivi_effective_mode,extra_kivi_group_size,extra_kivi_kernel_calls,extra_kivi_quantization_triggered,extra_kivi_quantize_calls,extra_kivi_quantized_layers,extra_kivi_quantized_tokens,extra_kivi_residual_length,extra_max_new_tokens,extra_metric_em,extra_metric_f1,extra_metric_rouge_l,extra_model,extra_primary_metric,extra_profile_note,extra_prompt_tokens,extra_reference,extra_request_source,extra_stage_decode_ms,extra_stage_first_token_ms,extra_stage_generate_ms,extra_stage_model_load_ms,extra_stage_prefill_ms,extra_stage_startup_ms,extra_stage_tokenize_ms,extra_stage_total_ms,extra_stage_transfer_ms,extra_ttft_semantics,extra_worker_mode,kv_cache_memory_mib,latency_ms,length_bucket,measured,ok,output_text,peak_memory_mib,profile,quality_loss,quality_score,request_id,resident_memory_mib,split,task,ttft_ms
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact transformers smoke,,Ground truth is not established in the paper,zai-org/LongBench,0.0,2912.7710089087486,3467.7971340715885,16540.788557380438,2900.251626968384,48.81994426250458,11.968445032835007,3480.642408132553,0.28916820883750916,first_token,batch,66.609375,3480.642408132553,long,True,True, The ground truth for fake news in the study is established through a dataset that was,5035.65283203125,full_gpu,0.0,1.0,longbench_qasper_000000,8669.44921875,calibration,qa_long_context,2912.7710089087486
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact transformers smoke,,Former Premier League footballer Sam Sodje has appeared in court alongside three brothers accused of charity fraud.,EdinburghNLP/xsum,0.0,87.94506266713142,643.9882256090641,16540.788557380438,86.4742137491703,48.81994426250458,1.2412779033184052,645.886991173029,0.10344386100769043,first_token,batch,8.4765625,645.886991173029,medium,True,True," Four brothers, including a former footballer, have denied fraud charges in relation to",4369.31396484375,full_gpu,0.0,1.0,xsum_000000,8669.44921875,calibration,summary,87.94506266713142
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact transformers smoke,,Two teenagers have been charged in connection with an incident in west Belfast in which a car collided with two police vehicles.,EdinburghNLP/xsum,0.0,63.78936022520065,629.1847005486488,16540.788557380438,62.73205578327179,48.81994426250458,0.8488595485687256,630.6608617305756,0.09233877062797546,first_token,batch,5.359375,630.6608617305756,short,True,True, Two teenagers have been charged in connection with a crash involving a stolen car which left,4333.90966796875,full_gpu,0.0,1.0,xsum_000004,8669.44921875,calibration,summary,63.78936022520065
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact transformers smoke,,Labour leadership hopefuls Liz Kendall and Yvette Cooper have said their supporters should back anyone other than Jeremy Corbyn in the contest.,EdinburghNLP/xsum,0.0,480.28793558478355,1040.1609018445015,16540.788557380438,474.43460673093796,48.81994426250458,5.560919642448425,1046.4508049190044,0.1603551208972931,first_token,batch,55.234375,1046.4508049190044,long,True,True, Labour leadership contenders have urged supporters to vote tactically in the party's contest to,4900.37451171875,full_gpu,0.0,1.0,xsum_000009,8669.44921875,calibration,summary,480.28793558478355
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact transformers smoke,,"David Cameron is facing Labour calls to apologise for calling refugees at a camp in Calais ""a bunch of migrants"" at Prime Minister's Questions.",EdinburghNLP/xsum,0.0,733.9639142155647,1288.3359342813492,16540.788557380438,724.3170887231827,48.81994426250458,9.20875370502472,1298.4345220029354,0.20417571067810059,first_token,batch,96.0859375,1298.4345220029354,xl,True,True, Prime Minister David Cameron has faced criticism after he said Labour leader Jeremy Corbyn had told,5371.27685546875,full_gpu,0.0,1.0,xsum_000071,8669.44921875,calibration,summary,733.9639142155647
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact transformers smoke,,"extension of the NetVLAD, adds Ghost clusters along with the NetVLAD clusters",zai-org/LongBench,0.0,526.2282267212868,1088.193066418171,16540.788557380438,520.2947668731213,48.81994426250458,5.543641746044159,1094.6296378970146,0.16196444630622864,first_token,batch,70.21875,1094.6296378970146,long,True,True, The GhostVLAD approach is a pooling strategy inspired by the work on face recognition,5075.72802734375,full_gpu,0.0,1.0,longbench_qasper_000001,8669.44921875,calibration,qa_long_context,526.2282267212868
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact transformers smoke,,Middlesex batsman Adam Voges will be out until August after suffering a torn calf muscle in his right leg.,EdinburghNLP/xsum,0.0,115.06112292408943,672.827810049057,16540.788557380438,113.13177645206451,48.81994426250458,1.650981605052948,675.1675605773926,0.1148618757724762,first_token,batch,13.6171875,675.1675605773926,medium,True,True, Middlesex have ruled out Australia batsman Adam Voges for the rest of the,4429.48583984375,full_gpu,0.0,1.0,xsum_000001,8669.44921875,calibration,summary,115.06112292408943
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact transformers smoke,,A pedestrian has been struck by a taxi in Dundee after it mounted the pavement.,EdinburghNLP/xsum,0.0,63.90435993671417,615.4503151774406,16540.788557380438,62.94011324644089,48.81994426250458,0.7409192621707916,616.783082485199,0.09944289922714233,first_token,batch,4.921875,616.783082485199,short,True,True, A 21-year-old man has been seriously injured after being hit by a,4329.43505859375,full_gpu,0.0,1.0,xsum_000005,8669.44921875,calibration,summary,63.90435993671417
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact transformers smoke,,"Head teachers say they are axing GCSE and A-level subjects, increasing class sizes and cutting support services as they struggle with school funding.",EdinburghNLP/xsum,0.0,333.4507830440998,892.3400156199932,16540.788557380438,329.6740911900997,48.81994426250458,3.3958032727241516,896.4576944708824,0.14248862862586975,first_token,batch,37.0234375,896.4576944708824,long,True,True," School leaders are warning that cuts to budgets are leading to a ""bare bones education",4693.54052734375,full_gpu,0.0,1.0,xsum_000010,8669.44921875,calibration,summary,333.4507830440998
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact transformers smoke,,Liverpool and Manchester United played out a goalless and uneventful stalemate on a disappointing night at Anfield.,EdinburghNLP/xsum,0.0,813.3819624781609,1370.4298846423626,16540.788557380438,804.3208755552769,48.81994426250458,8.70579481124878,1379.822563380003,0.189952552318573,first_token,batch,100.4609375,1379.822563380003,xl,True,True, Liverpool were held to a goalless draw by Manchester United at Anfield in a,5419.32568359375,full_gpu,0.0,1.0,xsum_000087,8669.44921875,calibration,summary,813.3819624781609
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact transformers smoke,,"the attention model, MDREA, also outperforms the best existing research results (WAP 0.690 to 0.688)",zai-org/LongBench,0.0,2741.390436887741,3246.9135597348213,16558.330561965704,2729.793958365917,45.63513025641441,11.210530996322632,3258.8469572365284,0.18242374062538147,first_token,batch,62.890625,3258.8469572365284,long,True,True, The document states that the proposed model outperforms previous state-of-the-art methods,4996.36474609375,full_gpu,0.0,1.0,longbench_qasper_000002,8648.484375,calibration,qa_long_context,2741.390436887741
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact transformers smoke,,The Duchess of Cambridge will feature on the cover of British Vogue to mark the magazine's centenary.,EdinburghNLP/xsum,0.0,163.7975536286831,710.7302881777287,16558.330561965704,161.70239076018333,45.63513025641441,1.871459186077118,713.1430134177208,0.10007992386817932,first_token,batch,18.9765625,713.1430134177208,medium,True,True, The Duchess of Cambridge is to feature on the cover of British Vogue for the first,4489.01708984375,full_gpu,0.0,1.0,xsum_000002,8648.484375,calibration,summary,163.7975536286831
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact transformers smoke,,"As the UK considers greater devolution in the aftermath of Scotland's independence referendum, should a troubled Northern Ireland Assembly push for more powers over its own affairs?",EdinburghNLP/xsum,0.0,56.37113377451897,585.3069350123405,16558.330561965704,55.69075420498848,45.63513025641441,0.4959516227245331,586.311548948288,0.08960068225860596,first_token,batch,3.2265625,586.311548948288,short,True,True, The BBC's Chris Buckler reports on the latest developments in the case of a,4309.97021484375,full_gpu,0.0,1.0,xsum_000011,8648.484375,calibration,summary,56.37113377451897
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact transformers smoke,,A vegan cafe in Tbilisi has appealed for public solidarity after being invaded by ultra-nationalists wielding grilled meat and sausages.,EdinburghNLP/xsum,0.0,285.8416847884655,820.2794529497623,16558.330561965704,282.6567105948925,45.63513025641441,2.9361359775066376,823.7537071108818,0.1083575189113617,first_token,batch,32.59375,823.7537071108818,long,True,True, A cafe in Georgia has appealed for support after it was attacked by a group of,4643.27294921875,full_gpu,0.0,1.0,xsum_000017,8648.484375,calibration,summary,285.8416847884655
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact transformers smoke,,"Will a £300,000-a-week salary change a hot prospect's attitude to the game?",EdinburghNLP/xsum,0.0,897.6064585149288,1416.5613427758217,16558.330561965704,888.8188265264034,45.63513025641441,8.41938704252243,1425.7165044546127,0.1736655831336975,first_token,batch,109.484375,1425.7165044546127,xl,True,True," As clubs look to spend hundreds of millions of pounds on new players, they are",5519.84423828125,full_gpu,0.0,1.0,xsum_000107,8648.484375,calibration,summary,897.6064585149288
