adapter,error,extra_backend,extra_bits,extra_builtin_request_fallback,extra_env,extra_family,extra_h2o_cache_budget,extra_h2o_heavy_ratio,extra_h2o_heavy_size,extra_h2o_kept_tokens,extra_h2o_mask_events,extra_h2o_prompt_tokens,extra_h2o_prune_events,extra_h2o_recent_ratio,extra_h2o_recent_size,extra_kivi_effective_mode,extra_kivi_group_size,extra_kivi_kernel_calls,extra_kivi_quantization_triggered,extra_kivi_quantize_calls,extra_kivi_quantized_layers,extra_kivi_quantized_tokens,extra_kivi_residual_length,extra_max_new_tokens,extra_metric_em,extra_metric_f1,extra_metric_rouge_l,extra_model,extra_profile_note,extra_prompt_tokens,extra_reference,extra_request_source,extra_stage_decode_ms,extra_stage_generate_ms,extra_stage_model_load_ms,extra_stage_startup_ms,extra_stage_tokenize_ms,extra_stage_total_ms,extra_stage_transfer_ms,extra_worker_mode,latency_ms,length_bucket,measured,ok,output_text,peak_memory_mib,profile,quality_loss,quality_score,request_id,resident_memory_mib,split,task,ttft_ms
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,Ground truth is not established in the paper,zai-org/LongBench,0.22276118397712708,3426.2982793152332,16494.379092007875,52.286360412836075,12.234866619110107,3439.265664666891,0.2656765282154083,batch,3439.265664666891,long,True,True, The ground truth for fake news in the study is established through a dataset that was,5002.19970703125,full_gpu,0.0,1.0,longbench_qasper_000000,8675.2734375,calibration,qa_long_context,3439.265664666891
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,Former Premier League footballer Sam Sodje has appeared in court alongside three brothers accused of charity fraud.,EdinburghNLP/xsum,0.18062815070152283,657.4841439723969,16494.379092007875,52.286360412836075,1.1511072516441345,659.196026623249,0.10324642062187195,batch,659.196026623249,medium,True,True, Four brothers accused of fraudulently trading to the value of Â£1.,4366.58740234375,full_gpu,0.0,1.0,xsum_000000,8675.2734375,calibration,summary,659.196026623249
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,Two teenagers have been charged in connection with an incident in west Belfast in which a car collided with two police vehicles.,EdinburghNLP/xsum,0.1560300588607788,647.4228464066982,16494.379092007875,52.286360412836075,0.8593834936618805,648.799542337656,0.0989474356174469,batch,648.799542337656,short,True,True, Two teenagers have been charged over an incident involving a stolen car which crashed into a,4332.73974609375,full_gpu,0.0,1.0,xsum_000004,8675.2734375,calibration,summary,648.799542337656
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,Labour leadership hopefuls Liz Kendall and Yvette Cooper have said their supporters should back anyone other than Jeremy Corbyn in the contest.,EdinburghNLP/xsum,0.16731023788452148,1066.768802702427,16494.379092007875,52.286360412836075,5.5764950811862946,1072.9810893535614,0.1836530864238739,batch,1072.9810893535614,long,True,True, Labour leadership contenders Harriet Harman and Andy Burnham have urged supporters of Jeremy,4874.29443359375,full_gpu,0.0,1.0,xsum_000009,8675.2734375,calibration,summary,1072.9810893535614
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,"David Cameron is facing Labour calls to apologise for calling refugees at a camp in Calais ""a bunch of migrants"" at Prime Minister's Questions.",EdinburghNLP/xsum,0.16081705689430237,1439.99744951725,16494.379092007875,52.286360412836075,8.915763348340988,1449.6959038078785,0.19680336117744446,batch,1449.6959038078785,xl,True,True," Prime Minister David Cameron has faced criticism after he described migrants in Calais as """,5323.30517578125,full_gpu,0.0,1.0,xsum_000071,8675.2734375,calibration,summary,1449.6959038078785
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,"extension of the NetVLAD, adds Ghost clusters along with the NetVLAD clusters",zai-org/LongBench,0.19555166363716125,1201.3996206223965,16494.379092007875,52.286360412836075,5.7277195155620575,1207.8787609934807,0.17120689153671265,batch,1207.8787609934807,long,True,True, The GhostVLAD approach is a pooling strategy inspired by the work on face recognition,5040.16943359375,full_gpu,0.0,1.0,longbench_qasper_000001,8675.2734375,calibration,qa_long_context,1207.8787609934807
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,Middlesex batsman Adam Voges will be out until August after suffering a torn calf muscle in his right leg.,EdinburghNLP/xsum,0.15094131231307983,793.5202978551388,16494.379092007875,52.286360412836075,2.0255930721759796,796.0096187889576,0.11327862739562988,batch,796.0096187889576,medium,True,True, Middlesex have ruled out Australia batsman Adam Voges returning before the end of,4422.40380859375,full_gpu,0.0,1.0,xsum_000001,8675.2734375,calibration,summary,796.0096187889576
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,A pedestrian has been struck by a taxi in Dundee after it mounted the pavement.,EdinburghNLP/xsum,0.12520328164100647,750.4823133349419,16494.379092007875,52.286360412836075,0.8732974529266357,751.7760545015335,0.1048557460308075,batch,751.7760545015335,short,True,True, A 21-year-old man has been seriously injured after being hit by a,4328.48388671875,full_gpu,0.0,1.0,xsum_000005,8675.2734375,calibration,summary,751.7760545015335
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,"Head teachers say they are axing GCSE and A-level subjects, increasing class sizes and cutting support services as they struggle with school funding.",EdinburghNLP/xsum,0.1211017370223999,1006.659310311079,16494.379092007875,52.286360412836075,3.9245039224624634,1011.0683552920818,0.12958049774169922,batch,1011.0683552920818,long,True,True," School leaders are warning that cuts to budgets are leading to a ""bare bones education",4676.55615234375,full_gpu,0.0,1.0,xsum_000010,8675.2734375,calibration,summary,1011.0683552920818
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,full/exact transformers smoke,,Liverpool and Manchester United played out a goalless and uneventful stalemate on a disappointing night at Anfield.,EdinburghNLP/xsum,0.12119859457015991,1472.8888384997845,16494.379092007875,52.286360412836075,7.275991141796112,1480.7844907045364,0.1665651798248291,batch,1480.7844907045364,xl,True,True, Liverpool drew 0-0 with Manchester United at Anfield in a tightly contested,5369.55908203125,full_gpu,0.0,1.0,xsum_000087,8675.2734375,calibration,summary,1480.7844907045364
